B B C A B D Q A F XXX NA NA C B bus
F E E B C F A H F B 0 NA C C bus
B C B B B B R G F B 0 NA C B bus
E E D C D E P I F B 0 NA C B bus
C C C C C B N R F B 0 NA C B bus
B B B B B B J R F B 0 NA C B bus
B B A B B B R XXX F B 0 NA C B bus
A B A A A A R R F B 0 NA C A bus
A B A A A A K XXX F B 0 NA C A bus
A B A A A A R XXX F B 0 NA B A bus
B B A A B B O XXX F B 0 NA B A bus
B B A B B B R R F B 0 NA B A bus
B B A B B B R R F B 0 NA B A bus
B C B C C B R N F B 0 NA B A bus
B C C C C B N N F B 0 NA B A bus
C C C C C C N J F B 0 NA B A bus
C C C D D C P P F B 0 NA B A bus
C C C C C C R P F B 0 NA B A bus
E E E D D E M M F B 0 NA C A bus
C C C C C C M M F B 0 NA C A bus
C C C C C C M J F B 0 NA C A bus
B C B C C B O R F B 0 NA C A bus
E E D C D E J J F B B 0 C A bus
E E D D D F L E F B A 0 C A bus
