E E D B C E C G F B 0 NA D C bus
B B B B B B K XXX F B 0 NA C B bus
B B A B B B R XXX F B 0 NA C A bus
B C B C C B N N F B 0 NA C A bus
C C C C C C J XXX F B 0 NA C A bus
B C B B B B R K F B 0 NA C A bus
C D C C C C F N F B 0 NA C A bus
B B B B B B F XXX F B 0 NA C A bus
A B A A A A R XXX F B 0 NA C A bus
A B A A A A R XXX F B 0 NA B A bus
B B A B B B R M F B 0 NA B A bus
B C B C C B R M F B 0 NA B A bus
E E D D D E N I F B A 0 B A bus
E E D D D E F L F A A 0 C A bus
E E C D D E M L F A A 0 C A bus
E E C D D E J N F A A B C A bus
E E C E E E R R F A A B C A bus
