E D E B B F B H F C A A E D bus
A B A A A A A XXX F C A A B B bus
B B B A B B F C F C A A B A bus
B B B B B B R N F C A A B A bus
B C C A B B B C F C A A B A bus
D D D C C E I J F B B A C B bus
C C C C C C L G F B B A C B bus
B B C B B B J N F B B A C B bus
C C C B B C P J T B B A C B bus
C C C B B C J O F B B A C B bus
B B B B B B O R F B B A C B bus
B B B B B B N N F B B A C B bus
B B C B B B M L F B B A C B bus
D D D B C E G J T B A A C B bus
B B B B B B M R F B A A C B bus
D D C C C D M M T B A A C B bus
D D C C C D J G T A A B C B bus
B B C A B B B N F A A B C B bus
D D D C C D M I T A A B C B bus
