C C D B B C G J F XXX NA NA C C dr
A A B A A A G N F XXX NA NA B B dr
A A A A A A K O F XXX NA NA A A dr
A A A A A A P M F XXX NA NA A A dr
B B C A A B G G F XXX NA NA A A dr
A A B A A A O L F XXX NA NA A A dr
A B C A A B M Q F XXX NA NA A A dr
A A B A A A M P F XXX NA NA A A dr
A A A A A A Q P F XXX NA NA A A dr
A A A A A A M M F XXX NA NA A A dr
A A A A A A O P F XXX NA NA A A dr
A A A A A A L H F XXX NA NA A A dr
A A A A A A P L F XXX NA NA A A dr
A A B A A A P P F XXX NA NA A A dr
A A A A A A M P F XXX NA NA A A dr
A A A A A A O I F XXX NA NA A A dr
A B B A A A R C F XXX NA NA A A dr
B B C A A B I N F XXX NA NA A A dr
B B C B B B L J F XXX NA NA A A dr
D C E C C B P D T XXX NA NA A A dr
