E D E A B E A A F A A 0 E D dr
A B C A A A G F F A A 0 C C dr
A A B A A A J J F A A 0 B B dr
C C C A A C I J T A A 0 B B dr
A B C A A A J M F A A 0 B B dr
A B B A A A P M F A A 0 B B dr
B B C B B B K J F A A 0 B B dr
A B C A A A G J F A A 0 B B dr
A B B A A A P P F A A 0 B B dr
B B C A A A P G F A A 0 B B dr
C C D B B B M N T A A 0 B B dr
B B C A B B P J F A A 0 B B dr
C C E A A C G I T A A 0 B B dr
A A B A A A J M F A A 0 B B dr
A A A A A A N G F A A 0 B B dr
A A B A A A N Q F A A 0 B B dr
A A A A A A P P F A A 0 B B dr
A A A A A A J P F A A 0 B B dr
A A A A A A P R F A A 0 A B dr
A A A A A A O P F A A 0 A A dr
A A A A A A N O F A A 0 A A dr
A A B A A A M M F A A 0 A A dr
A A B A A A L J F A A 0 A A dr
A A A A A A L M F A A 0 A A dr
A A A A A A P P F A A 0 A A dr
A A A A A A I M F A A 0 A A dr
A A A A A A P M F A A 0 A A dr
A A B A A A M J F A A 0 A A dr
A A A A A A K P F A A 0 A A dr
A A B A A A R K F A A 0 A A dr
E C E A B C J G F A A 0 A A dr
A A B A A A L R F A A 0 A A dr
A A A A A A J P F A A 0 A A dr
A A A A A A O O F A A 0 A A dr
A A A A A A L M F A A 0 A A dr
A A A A A A P R F A A 0 A A dr
A A A A A A J I F A A 0 A A dr
A A A A A A M P F A A 0 A A dr
A A A A A A P G F A A 0 A A dr
A A B A A A P P F A A 0 A A dr
A B B A A A I P F A A 0 A A dr
A A A A A A P R F A A 0 A A dr
A A A A A A P N F A A 0 A A dr
A A A A A A P M F A A 0 A A dr
A A A A A A H L F A A 0 A A dr
A A A A A A G L F A A 0 A A dr
A A A A A A M N F A A 0 A A dr
A A A A A A L L F A A 0 A A dr
A A A A A A D M F A A 0 A A dr
A A A A A A I O F A A 0 A A dr
A A A A A A M K F A A 0 A A dr
A A A A A A N I F A A 0 A A dr
A A A A A A P J F A A 0 A A dr
A A A A A A P Q F A A 0 A A dr
A A A A A A N C F A A 0 A A dr
E C E A A E G B F B B 0 A A dr
A A B A A A D M F B B 0 A A dr
A A A A A A K J F B B 0 A A dr
A A A A A A L P F B B 0 A A dr
A A A A A A N H F B B 0 A A dr
A A A A A A O C F B B 0 A A dr
B B C B B B G G F B B 0 A A dr
A B C A A A M J F B B 0 A A dr
B B C A B B K M F B B 0 A A dr
B B C B B B I N F B B 0 A A dr
A A B A A A M O F B B 0 A A dr
A A B A A A Q O F B B 0 A A dr
C C E A A C K D T B B 0 A A dr
A B C A A A F Q F B B 0 A A dr
A A A A A A G O F B B 0 A A dr
A A A A A A N G F B B 0 A A dr
A A A A A A G K F B B 0 A A dr
A A A A A A N L F B B 0 A A dr
A A A A A A N P F B B 0 A A dr
A A A A A A K N F B B 0 A A dr
A A A A A A K P F B B 0 A A dr
A A A A A A F F F B B 0 A A dr
A A A A A A K O F B B 0 A A dr
A A A A A A P Q F B B 0 A A dr
A A A A A A P M F B B 0 A A dr
A A A A A A N N F B B 0 A A dr
A A A A A A C H F B B 0 A A dr
A A A A A A Q N F B B 0 A A dr
A A A A A A K L F B B 0 A A dr
C B E A A B K C T B B 0 A A dr
A A B A A A J L F B B 0 A A dr
A A B A A A K O F B B 0 A A dr
A A B A A A L K F B B 0 A A dr
A A A A A A N R F B B 0 A A dr
A A A A A A R O F B B 0 A A dr
A A B A A A R J F B B 0 A A dr
D C E B B B L J F B B 0 A A dr
A A B A A A G R F B B 0 A A dr
A A A A A A Q N F B B 0 A A dr
A A B A A A K N F B B 0 A A dr
A A A A A A N P F B B 0 A A dr
A A A A A A N N F B B 0 A A dr
A A A A A A R O F B B 0 A A dr
A A B A A A N O F B B 0 A A dr
A A B A A A Q K F B B 0 A A dr
A A B A A A I P F B B 0 A A dr
A A A A A A O M F B B 0 A A dr
A A B A A A O N F B B 0 A A dr
A A B A A A F N F B B 0 A A dr
A A B A A A R N F B B 0 A A dr
A A B A A A N K F B B 0 A A dr
B B C A A B L C F B B 0 A A dr
B B C A A B L F F B B 0 A A dr
A B C A A A C C F B B 0 A A dr
A A B A A A R N F B B 0 A A dr
B B C A A B J F F B B 0 A A dr
B B C A A B L M F B B 0 A A dr
B B C A A B M J F B B 0 A A dr
E E D D E E L J F B B 0 A A dr
