D C E A A D I B T B A 0 C D dr
A A A A A A G P F B A 0 B B dr
A A A A A A Q N F B A 0 A B dr
A A A A A A R P F B A 0 A A dr
A A A A A A N XXX F B A 0 A A dr
A A A A A A P L F B A 0 A A dr
A A A A A A N I F B A 0 A A dr
A A B A A A M O F B A 0 A A dr
A A A A A A K H F B A 0 A A dr
A A B A A A N N F B A 0 A A dr
A A B A A A O N F B A 0 A A dr
A A A A A A O R F B A 0 A A dr
A A A A A A P Q F B A 0 A A dr
A A A A A A K G F B A 0 A A dr
A A A A A A O O F B A 0 A A dr
A A A A A A L M F B A 0 A A dr
A A A A A A N K F B A 0 A A dr
A A A A A A O N F B A 0 A A dr
A A A A A A K I F B A 0 A A dr
A A A A A A N K F B A 0 A A dr
A A A A A A L O F B A 0 A A dr
A A A A A A P P F B A 0 A A dr
A A A A A A R P F B A 0 A A dr
A A A A A A G K F B A 0 A A dr
A A A A A A P P F B A 0 A A dr
A A A A A A L N F B A 0 A A dr
A A A A A A M L F B A 0 A A dr
A A A A A A Q Q F B A 0 A A dr
A A B A A A P I F B A 0 A A dr
E C E A A C A A F C B 0 A A dr
A A B A A A P P F C B 0 A A dr
A A B A A A M P F C B 0 A A dr
A A B A A A R J F C B 0 A A dr
C C C A B B L F F C B 0 A A dr
E D E B C D R F F C B 0 A A dr
