C C E A A C A A T A A 0 C D dr
A B C A A A C L F A A 0 B C dr
A A C A A A L I F A A 0 B B dr
A A B A A A C B F A A 0 A B dr
A A B A A A C M F A A 0 A B dr
A A A A A A L M F A A 0 A A dr
A A A A A A H B F A A 0 A A dr
A A B A A A J H F A A 0 A A dr
A A B A A A K O F A A 0 A A dr
A A A A A A B H F A A 0 A A dr
A A A A A A N M F A A 0 A A dr
A A A A A A N N F A A 0 A A dr
A A A A A A O Q F A A 0 A A dr
A A A A A A Q K F A A 0 A A dr
A A A A A A O M F A A 0 A A dr
A A A A A A J C F A A 0 A A dr
A A A A A A H E F A A 0 A A dr
A A A A A A M M F A A 0 A A dr
A A B A A A P N F A A 0 A A dr
D B E A A B L C T A A 0 A A dr
B B C B B B J J F A A 0 A A dr
B B C A B B J I F A A 0 A A dr
A B C A A A J J F A A 0 A A dr
C B D B B B N F F A A 0 A A dr
