E D E A A E A A F A A 0 D D dr
A A C A A A J J F A A 0 B C dr
B B C A A B I J T A A 0 C C dr
A A C A A A O M F A A 0 B C dr
B B C A A B K J F A A 0 B B dr
A A C A A A L J F A A 0 B B dr
B B D A A B M G T A A 0 B B dr
B B C A B B M M F A A 0 B B dr
C B E A A B G I T A A 0 B C dr
A A B A A A K G F A A 0 B B dr
A A B A A A N N F A A 0 B B dr
A A B A A A P P F A A 0 B B dr
A A B A A A P I F A A 0 B B dr
A A B A A A N N F A A 0 A B dr
A A B A A A L M F A A 0 A B dr
A A B A A A L M F A A 0 A B dr
A A B A A A M P F A A 0 A B dr
A A B A A A P M F A A 0 A B dr
A A B A A A M J F A A 0 A B dr
A A B A A A R P F A A 0 A B dr
D B E A A B J G T A A 0 A B dr
A A B A A A J P F A A 0 A B dr
A A B A A A P O F A A 0 A B dr
A A B A A A L M F A A 0 A B dr
A A B A A A M I F A A 0 A B dr
A A B A A A M J F A A 0 A B dr
A A B A A A P G F A A 0 A B dr
A A C A A A I D F A A 0 A B dr
A A B A A A L N F A A 0 A B dr
A A B A A A P M F A A 0 A B dr
A A B A A A G L F A A 0 A B dr
A A B A A A K N F A A 0 A B dr
A A B A A A L L F A A 0 A B dr
A A A A A A I M F A A 0 A A dr
A A A A A A M K F A A 0 A A dr
A A B A A A M I F A A 0 A A dr
A A B A A A M J F A A 0 A A dr
A A B A A A K B F A A 0 A A dr
E C E A A D D B F B B 0 A A dr
A A B A A A K J F B B 0 A A dr
A A A A A A J N F B B 0 A A dr
A A B A A A O C F B B 0 A A dr
B B C A A B G M F B B 0 A A dr
B B C A A B K J F B B 0 A A dr
A B C A A B I M F B B 0 A A dr
A A C A A A I O F B B 0 A A dr
C C E A A B F D T B B 0 A B dr
A A B A A A G O F B B 0 A B dr
A A B A A A N F F B B 0 A A dr
A A B A A A G L F B B 0 A A dr
A A B A A A K I F B B 0 A A dr
A A B A A A K L F B B 0 A A dr
A A B A A A F F F B B 0 A A dr
A A B A A A N K F B B 0 A A dr
A A B A A A I I F B B 0 A A dr
A A B A A A C G F B B 0 A A dr
A A B A A A K N F B B 0 A A dr
B B E A A B K C T B B 0 A A dr
A A C A A A J L F B B 0 A A dr
A A B A A A D J F B B 0 A A dr
A A B A A A K O F B B 0 A A dr
A A B A A A R O F B B 0 A A dr
D B E A A B L J T B B 0 A B dr
A A C A A A G Q F B B 0 A B dr
A A B A A A K N F B B 0 A B dr
A A B A A A K N F B B 0 A B dr
A A B A A A N N F B B 0 A B dr
A A B A A A L M F B B 0 A B dr
A A B A A A K K F B B 0 A B dr
A A B A A A O M F B B 0 A A dr
A A C A A A F N F B B 0 A A dr
A A B A A A J N F B B 0 A A dr
A A C A A A L C F B B 0 A A dr
B B C A A B C F F B B 0 A B dr
A A C A A A F C F B B 0 A B dr
B B C A A B J F F B B 0 A B dr
A B C A A A L L F B B 0 A B dr
D D D C C E L J F B B 0 A B dr
