B B C A A A A A F XXX NA NA B B dr
A A C A A A J M F XXX NA NA A B dr
A A B A A A O P F XXX NA NA A B dr
A A C A A A O K F XXX NA NA A B dr
C B E A A C B I T C 0 NA A B dr
A A B A A A N N F C 0 NA A B dr
A A B A A A N N F C 0 NA A B dr
A A B A A A O N F C 0 NA A B dr
A A B A A A N O F C 0 NA A B dr
A A B A A A J K F C 0 NA A B dr
A A B A A A M N F C 0 NA A B dr
A A B A A A F N F C 0 NA A B dr
A A B A A A E Q F C 0 NA A A dr
A A A A A A O R F C 0 NA A A dr
A A A A A A N O F C 0 NA A A dr
A A A A A A L N F C 0 NA A A dr
A A A A A A O N F C 0 NA A A dr
A A A A A A R N F C 0 NA A A dr
A A A A A A N Q F C 0 NA A A dr
A A A A A A N N F C 0 NA A A dr
A A A A A A Q O F C 0 NA A A dr
A A A A A A L P F C 0 NA A A dr
A A A A A A N O F C 0 NA A A dr
A A A A A A Q N F C 0 NA A A dr
A A A A A A O O F C 0 NA A A dr
A A A A A A R O F C 0 NA A A dr
A A A A A A N K F C 0 NA A A dr
A A A A A A H P F C 0 NA A A dr
A A A A A A M M F C 0 NA A A dr
A A A A A A H K F C 0 NA A A dr
A A A A A A P L F C 0 NA A A dr
A A A A A A R P F C 0 NA A A dr
A A A A A A P Q F C 0 NA A A dr
A A A A A A N P F C 0 NA A A dr
A A A A A A R O F C 0 NA A A dr
A A A A A A R P F C 0 NA A A dr
A A A A A A J L F C 0 NA A A dr
A A A A A A O M F C 0 NA A A dr
A A A A A A K Q F C 0 NA A A dr
A A A A A A P O F C 0 NA A A dr
A A A A A A J M F C 0 NA A A dr
A A A A A A R P F C 0 NA A A dr
A A A A A A R O F C 0 NA A A dr
A A A A A A O O F C 0 NA A A dr
A A A A A A O O F C 0 NA A A dr
A A A A A A F I F C 0 NA A A dr
A A A A A A O Q F C 0 NA A A dr
A A A A A A I K F C 0 NA A A dr
A A A A A A K D F C 0 NA A A dr
A A A A A A J L F C 0 NA A A dr
A A A A A A P XXX F C 0 NA A A dr
A A A A A A L XXX F C 0 NA A A dr
A A A A A A O O F C 0 NA A A dr
A A A A A A R Q F C 0 NA A A dr
A A A A A A O N F C 0 NA A A dr
A A A A A A O O F C 0 NA A A dr
A A A A A A R O F C 0 NA A A dr
A A A A A A R N F C 0 NA A A dr
A A A A A A R R F C 0 NA A A dr
A A A A A A N R F C 0 NA A A dr
A A A A A A N N F C 0 NA A A dr
A A A A A A R XXX F C 0 NA A A dr
A A A A A A R XXX F C 0 NA A A dr
A A A A A A N L F C 0 NA A A dr
A A A A A A P P F C 0 NA A A dr
A A A A A A K N F C 0 NA A A dr
A A A A A A L N F C 0 NA A A dr
A A A A A A H H F C 0 NA A A dr
A A A A A A L O F C 0 NA A A dr
A A A A A A C H F C 0 NA A A dr
A A A A A A O Q F C 0 NA A A dr
A A A A A A P R F C 0 NA A A dr
A A A A A A O R F C 0 NA A A dr
A A A A A A N O F C 0 NA A A dr
A A A A A A O N F C 0 NA A A dr
A A A A A A N N F C 0 NA A A dr
A A A A A A N N F C 0 NA A A dr
A A A A A A R O F C 0 NA A A dr
A A A A A A J J F C 0 NA A A dr
A A A A A A R R F C 0 NA A A dr
A A A A A A O XXX F C 0 NA A A dr
A A A A A A N XXX F C 0 NA A A dr
A A A A A A R R F C 0 NA A A dr
A A A A A A R R F C 0 NA A A dr
A A A A A A N N F C 0 NA A A dr
A A A A A A P N F C 0 NA A A dr
A A A A A A P N F C 0 NA A A dr
A A A A A A P P F C 0 NA A A dr
A A A A A A P P F C 0 NA A A dr
A A A A A A Q L F C 0 NA A A dr
A A A A A A R P F C 0 NA A A dr
A A A A A A R O F C 0 NA A A dr
A A A A A A N J F C 0 NA A A dr
A A A A A A N N F C 0 NA A A dr
A A B A A A Q F F C 0 NA A A dr
A A C A A A L N F C 0 NA A A dr
A A C A A A M N F C 0 NA A A dr
A A B A A A M N F C 0 NA A A dr
D B E A B B I I T D 0 NA A A dr
A A C A A A O Q F D 0 NA A A dr
A A B A A A H I F D 0 NA A A dr
A A B A A A L P F D 0 NA A A dr
A A B A A A M Q F D 0 NA A A dr
A A B A A A O O F D 0 NA A A dr
A A B A A A O Q F D 0 NA A A dr
A A B A A A M L F D 0 NA A A dr
A A A A A A K N F D 0 NA A A dr
A A A A A A C I F D 0 NA A A dr
A A A A A A M H F D 0 NA A A dr
A A A A A A M L F D 0 NA A A dr
A A A A A A J P F D 0 NA A A dr
C C D A A C M G T D 0 NA A A dr
