C C C B B C C K F XXX NA NA C C dr
C C E A B C D G T B 0 NA C D dr
A A A A A A L R F B 0 NA B B dr
A A B A A A I N F B 0 NA B A dr
A A B A A A H N F B 0 NA A A dr
A A B A A A N K F B 0 NA A A dr
A A B A A A F M F B 0 NA A A dr
A A B A A A P Q F B 0 NA A A dr
A A B A A A K K F B 0 NA A A dr
A A B A A A O I F B 0 NA A A dr
A A B A A A M G F B 0 NA A A dr
A A B A A A N M F B 0 NA A A dr
B B C A A B H C T A A 0 A A dr
A A B A A A I H F A A 0 A A dr
A A B A A A I D F A A 0 A A dr
A A B A A A K I F A A 0 A A dr
A A B A A A J J F A A 0 A A dr
A A C A A A I C F A A 0 A A dr
B B C A A B D C F A A 0 A A dr
