C B E A A C G B T B A 0 C D dr
A A B A A A Q N F B A 0 B C dr
A A B A A A N P F B A 0 A B dr
A A B A A A N I F B A 0 A B dr
A A B A A A M I F B A 0 A B dr
A A B A A A K H F B A 0 A B dr
A A C A A A N N F B A 0 A B dr
A A B A A A O N F B A 0 A B dr
A A B A A A N N F B A 0 A B dr
A A B A A A M O F B A 0 A A dr
A A B A A A K I F B A 0 A A dr
A A B A A A O N F B A 0 A A dr
A A B A A A K I F B A 0 A A dr
A A B A A A L O F B A 0 A A dr
A A B A A A P P F B A 0 A A dr
A A B A A A G K F B A 0 A A dr
A A B A A A L N F B A 0 A A dr
A A B A A A M L F B A 0 A A dr
A A B A A A O J F B A 0 A A dr
D B E A A B A A F C B 0 A A dr
A A C A A A P P F C B 0 A A dr
A A B A A A P J F C B 0 A A dr
D C E A B C L F T C B 0 A B dr
