B B C B B B C C T A A 0 C C dr
C B E A A B C J T B A 0 C D dr
A A B A A A K K F B A 0 B D dr
A A B A A A J K F B A 0 B C dr
A A B A A A N J F B A 0 A B dr
A A B A A A N J F B A 0 A B dr
D C E A A B J F T C B 0 A B dr
A A B A A A J L F C B 0 A B dr
A A B A A A L M F C B 0 A B dr
A A B A A A P Q F C B 0 A B dr
A A B A A A P M F C B 0 A B dr
A A B A A A I J F C B 0 A B dr
A A B A A A G F F C B 0 A B dr
D B E A A B D B T C B 0 A B dr
A A C A A A J K F C B 0 A B dr
A A B A A A J N F C B 0 A B dr
A A B A A A P O F C B 0 A B dr
A A B A A A P Q F C B 0 A B dr
A A B A A A J J F C B 0 A B dr
A A B A A A L L F C B 0 A B dr
A A B A A A O J F C B 0 A B dr
A A C A A A J N F C B 0 A B dr
A B C A A A O K F C B 0 A B dr
C C C A A C O K F C B 0 A B dr
D D E C C D L C F C B 0 A B dr
