D C E B B B C D T XXX 0 NA D D dr
A B C A A A N J F XXX 0 NA C D dr
D B E A A B C C T XXX 0 NA C D dr
B B D A A B B B F XXX 0 NA C D dr
B B C A A B G C F XXX 0 NA C D dr
C B E A A B B C T XXX 0 NA C D dr
A B C A A A L D F XXX 0 NA C D dr
A B C A A A A A F XXX 0 NA B D dr
A A B A A A M M F XXX 0 NA B D dr
A A C A A A D F F XXX 0 NA B D dr
A A C A A A J I F XXX 0 NA B D dr
A A B A A A J P F XXX 0 NA B C dr
A A B A A A K D F XXX 0 NA B C dr
A B C A A A I B F XXX 0 NA B C dr
A B C A A A K N F XXX 0 NA B C dr
B B C A A B K H F XXX 0 NA B C dr
A A C A A A J L F XXX 0 NA B C dr
A A C A A A J O F XXX 0 NA B C dr
A A C A A A M M F XXX 0 NA B B dr
A A C A A A O M F XXX 0 NA B B dr
B B C A A B F G F XXX 0 NA B B dr
E E C C D E P I F XXX 0 NA B B dr
