C B E A A B E F T B 0 NA C D dr
A B B A A A Q XXX F B 0 NA B C dr
A A A A A A R P F B 0 NA A A dr
C B E A B B M N T C 0 NA B B dr
A A A A A A R Q F C 0 NA B B dr
A A A A A A Q XXX F C 0 NA A A dr
A A A A A A R Q F C 0 NA A A dr
A A A A A A Q XXX F C 0 NA A A dr
A B A A A A Q R F C 0 NA A A dr
A A A A A A Q XXX F C 0 NA A A dr
A A A A A A R R F C 0 NA A A dr
A A A A A A R XXX F C 0 NA A A dr
A A A A A A R XXX F C 0 NA A A dr
A A A A A A R R F C 0 NA A A dr
A A A A A A R Q F C 0 NA A A dr
B B B A B B R M F C 0 NA A A dr
B B C A A B M XXX F C 0 NA A A dr
A B A A A A Q R F C 0 NA A A dr
A B B A A A R Q F C 0 NA A A dr
A B A A A A Q R F C 0 NA A A dr
A A A A A A O XXX F C 0 NA A A dr
A A A A A A R XXX F C 0 NA A A dr
A A A A A A R Q F C 0 NA A A dr
A A A A A A R XXX F C 0 NA A A dr
B B B A A B R O F C 0 NA A A dr
A B B A A A Q R F C 0 NA A A dr
A B A A A A Q XXX F C 0 NA A A dr
A A A A A A R R F C 0 NA A A dr
B B B A B B O P F C 0 NA A A dr
A A A A A A O XXX F C 0 NA A A dr
A A A A A A R R F C 0 NA A A dr
A B A A A B R O F C 0 NA A A dr
A B B A A A Q P F C 0 NA A A dr
B C C B B C R P F C 0 NA A A dr
