E E D C D E B J F B B A E D dr
B B B A A B P R F B B A C B dr
A B A A A A R N F B B A B B dr
E C E B B B K B F B B A C C dr
D B E A B B J J T C B A C D dr
A A C A A A N N F C B A C D dr
A A C A A A N N F C B A B C dr
B B C A A A N J F C B A B C dr
C B E A B B N C F C B A B C dr
A B C A A A N N F C B A B C dr
A A C A A A J N F C B A B C dr
A A B A A A N R F C B A B C dr
A A B A A A N N F C B A B B dr
A A B A A A K M F C B A B B dr
A A B A A A O R F C B A A B dr
A A B A A A N J F C B A A B dr
A A B A A A N N F C B A A B dr
A A B A A A J J F C B A A B dr
A A B A A A N N F C B A A B dr
A A B A A A O N F C B A A B dr
A A B A A A O O F C B A A B dr
A A B A A A O N F C B A A B dr
D B E A A B N G F C B A A B dr
A B C A A A N J F C B A A B dr
D B E A A B C J T C B A A B dr
B B C A A A M P F C B A A B dr
C B D B B B J J F C B A A B dr
E D E C C D P N F C B A A B dr
