E C E A A E A A F A A 0 D D dr
B B C A A B J J T A A 0 C D dr
A A C A A A J M F A A 0 B D dr
B B C A A B G J F A A 0 B C dr
A A C A A A P J F A A 0 B C dr
B B D A B B M M T A A 0 B C dr
B B E A A B G I T A A 0 B C dr
A A B A A A K G F A A 0 B C dr
A A B A A A P P F A A 0 B C dr
A A B A A A O I F A A 0 B C dr
A A B A A A N N F A A 0 A B dr
A A C A A A L J F A A 0 A B dr
A A B A A A I O F A A 0 A B dr
A A B A A A P L F A A 0 A B dr
A A B A A A K P F A A 0 A B dr
C B E A A B J G T A A 0 A B dr
A A B A A A J P F A A 0 A B dr
A A B A A A L M F A A 0 A B dr
A A B A A A J I F A A 0 A B dr
A A B A A A M G F A A 0 A B dr
A A C A A A L D F A A 0 A B dr
A A B A A A L N F A A 0 A B dr
A A B A A A H L F A A 0 A B dr
A A B A A A G L F A A 0 A B dr
A A B A A A D L F A A 0 A B dr
A A B A A A I K F A A 0 A B dr
A A B A A A M I F A A 0 A B dr
A A B A A A F J F A A 0 A B dr
D C E A A C G B F B B 0 A B dr
A A C A A A K J F B B 0 A B dr
A A B A A A J H F B B 0 A B dr
B B C A A B G C F B B 0 A B dr
B B C A A B K J F B B 0 A B dr
A A C A A B I M F B B 0 A B dr
C B E A A B K D T B B 0 A B dr
A A C A A A F L F B B 0 A B dr
A A B A A A N F F B B 0 A B dr
A A B A A A J L F B B 0 A B dr
A A B A A A K I F B B 0 A B dr
A A B A A A F F F B B 0 A B dr
A A B A A A K K F B B 0 A B dr
A A B A A A C G F B B 0 A B dr
A A B A A A K L F B B 0 A B dr
B B E A A B G C T B B 0 A B dr
A A C A A A D J F B B 0 A B dr
A A B A A A K K F B B 0 A B dr
A A B A A A R J F B B 0 A B dr
C B E A A B G J T B B 0 A B dr
A A B A A A K N F B B 0 A B dr
A A B A A A K N F B B 0 A B dr
A A B A A A N O F B B 0 A B dr
A A C A A A K K F B B 0 A B dr
A A B A A A I K F B B 0 A B dr
A A C A A A F J F B B 0 A B dr
A A C A A A N K F B B 0 A B dr
B B C A A B L C F B B 0 A B dr
A A C A A A C C F B B 0 A B dr
B B C A A B J F F B B 0 A B dr
C C E A A C L J T B B 0 A B dr
