D C E A A C A A F E 0 NA D D dr
C C E A B D G L T B A 0 C D dr
A A B A A A F J F B A 0 B D dr
A A B A A A N J F B A 0 B C dr
A A B A A A J J F B A 0 A C dr
A A B A A A G J F B A 0 A B dr
A A C A A A C C F B A 0 A B dr
A A C A A A N M F B A 0 A B dr
C B E A A B G A T A A 0 A C dr
A A C A A A J J F A A 0 A C dr
A A B A A A J J F A A 0 A B dr
A A B A A A N J F A A 0 A B dr
A A C A A A J J F A A 0 A B dr
D B E A A B F J F B A 0 A C dr
B B C A A A C C F B A 0 A C dr
C B E A A B G F T B B 0 A C dr
A A B A A A J K F B B 0 A C dr
A A C A A A I C F B B 0 A C dr
C C E B B B I G T B B 0 A C dr
C B D A A B B A T B A 0 A C dr
A A C A A A J N F B A 0 A C dr
B B C A A B F C T A A B A C dr
C B E A A B K F T B A B A C dr
C C E B B B G D T B B B A C dr
B B D B B B G H T B A B B C dr
B B C B B B J L F B A B B C dr
