C C D A A C D C T A A A C D dr
A A B A A A L M F A A A B B dr
A A B A A A N P F A A A A B dr
A A B A A A I L F A A A A B dr
A A B A A A K K F A A A A B dr
D B E A A B M D T A A A A C dr
A A C A A A I O F A A A A C dr
A A B A A A K P F A A A A C dr
A A B A A A D H F A A A A B dr
A A B A A A R G F A A A A B dr
B B E A A B C C F A A A A B dr
A A C A A A K O F A A A A B dr
A A B A A A M M F A A A A B dr
A A B A A A L L F A A A A B dr
B B E A A B O F F A A A A B dr
A A C A A A B C F A A A A B dr
B A E A A A A C F A A A A B dr
A A B A A A P L F A A A A B dr
A A B A A A K N F A A A A B dr
A A C A A A K I F A A A A B dr
A B C A A A J K F A A A A B dr
B B C A A B C G F A A A A B dr
B B E A A A G F T B A A A B dr
D B E A A A C B T B B A A C dr
A A C A A A H F F B B A A C dr
B A E A A A B F F B B A A C dr
A A C A A A J C F B B A A C dr
C B D A B B G D F B B A A C dr
