E D E C D D P Q F C 0 NA E D dr
C C C D D C R R F C 0 NA C C dr
D D C D D D R P F C 0 NA C C dr
B C B B B B E XXX F C 0 NA C B dr
B B A A B B R F F C 0 NA C B dr
C C C C C C Q J F C 0 NA C B dr
E E C D D D Q P F C 0 NA C B dr
B C B C C C O O F C 0 NA C B dr
B B A B B B H XXX F C 0 NA C B dr
A B A A A A P XXX F C 0 NA C A dr
A B A A A A R XXX F C 0 NA C A dr
A B A A A A M XXX F C 0 NA C A dr
A B A A A A J XXX F C 0 NA B A dr
A B A A A A R P F C 0 NA B A dr
A B A A A A P XXX F C 0 NA B A dr
B B A B B B R M F C 0 NA B A dr
C E B D E E Q R F C 0 NA B A dr
D E C D E E Q XXX T C 0 NA B A dr
F F D E E F R R F C 0 NA C A dr
F F C E E F R XXX F C 0 NA C A dr
