F F C E E F R XXX F D 0 NA E C dr
B C C C C B R N F D 0 NA C B dr
E C E B D C Q N F C 0 NA C C dr
A B A A A A L XXX F C 0 NA C B dr
A B A A A A H XXX F C 0 NA C A dr
B B A B B B R K F C 0 NA C A dr
B C B C C B K L F C 0 NA C A dr
A B A A A A K XXX F C 0 NA B A dr
B B A B B B J XXX F C 0 NA B A dr
C C C C C B P M F C 0 NA B A dr
B C B B C B L N F C 0 NA B A dr
B B A A B B G XXX F C 0 NA B A dr
B B A A B B R M F C 0 NA B A dr
A B A A A A R L F C 0 NA B A dr
A B A A A A C XXX F C 0 NA B A dr
B B A A B B R N F C 0 NA B A dr
A B A A A A R F F C 0 NA B A dr
A B A A A A N XXX F C 0 NA B A dr
A B A A A A Q XXX F C 0 NA B A dr
A B A A A A R N F C 0 NA B A dr
B C B B B B R C F C 0 NA B A dr
E D E C D D R C F C 0 NA B A dr
B C B B C B R I F C 0 NA B A dr
E D E C D C N XXX F B 0 NA B A dr
B B A A B B D XXX F B 0 NA B A dr
A B A A A A Q XXX F B 0 NA B A dr
B B A A B B R J F B 0 NA B A dr
B B A B B B Q XXX F B 0 NA B A dr
A B A A A A N XXX F B 0 NA B A dr
B C B B C B P N F B 0 NA B A dr
E D E C D D R O F C 0 NA B A dr
B B B B B B O XXX F C 0 NA B A dr
A B A A A A O XXX F C 0 NA B A dr
A B A A A A R XXX F C 0 NA B A dr
B B A B B B R M F C 0 NA B A dr
D D C C D D R H F C 0 NA B A dr
B C B B B B P XXX F C 0 NA B A dr
B B A A B B K XXX F C 0 NA B A dr
A B A A A A L XXX F C 0 NA B A dr
A B A A A A K XXX F C 0 NA B A dr
A B A A A A R N F C 0 NA B A dr
B B A A B B L XXX F C 0 NA B A dr
