C C D A C C A L T A A 0 C C dr
B B C A B B R B F A A 0 C B dr
C C C C C B Q P F A A 0 C B dr
D D C D D C Q P F A A 0 C B dr
B C B B C B R N F A A 0 C B dr
B B A A B B C XXX F A A 0 C B dr
A B A A A A G XXX F A A 0 C A dr
A B A A A A P XXX F A A 0 B A dr
A B A A A A R Q F A A 0 B A dr
A B A A A A F XXX F A A 0 B A dr
B B A A B B R C F A A 0 B A dr
F D E C D E R Q F C A 0 B A dr
B C B B B B J R F C A 0 B A dr
B B A B B B N XXX F C A 0 B A dr
B B A B B B N XXX F C A 0 B A dr
B C B B B B R J F C A 0 B A dr
B B B B B B L XXX F C A 0 B A dr
B B A B B B O XXX F C A 0 B A dr
B B A B B B R XXX F C A 0 B A dr
B B B B B B L I F C A 0 B A dr
B C C C C B K O F C A 0 B A dr
B B A B B B N XXX F C A 0 B A dr
B B A A B B R J F C A 0 B A dr
B B A B B B N XXX F C A 0 B A dr
A B A A A A J XXX F C A 0 B A dr
A B A A A A N XXX F C A 0 B A dr
A B A A A A R N F C A 0 B A dr
B B A B B B N XXX F C A 0 B A dr
C C C C C B R I F C A 0 B A dr
