F E E C D E P R F E 0 NA E D dr
C C B C C B P XXX F E 0 NA C C dr
C C C C C C R G F E 0 NA C B dr
B B A A B B J XXX F E 0 NA C B dr
B B A B B B R P F E 0 NA C A dr
A B A A A A M XXX F E 0 NA B A dr
A B A A A A R Q F E 0 NA B A dr
A B A A A A J XXX F E 0 NA B A dr
A B A A A A O XXX F E 0 NA B A dr
B B A A B B R J F E 0 NA B A dr
B B A B B B L XXX F E 0 NA B A dr
B B A B B B R XXX F E 0 NA B A dr
A B A A A A O XXX F E 0 NA B A dr
B C B B B B P XXX F E 0 NA B A dr
C C C C C C R J F E 0 NA B A dr
C C C B C B J XXX F E 0 NA B A dr
A B A A A A L XXX F E 0 NA B A dr
A B A A A A P XXX F E 0 NA B A dr
A B A A A A R R F E 0 NA B A dr
A B A A A A M XXX F E 0 NA B A dr
A B A A A A K XXX F E 0 NA B A dr
A B A A A A R N F E 0 NA B A dr
A B A A A A R O F E 0 NA B A dr
A B A A A A Q XXX F E 0 NA B A dr
A B A A A A D XXX F E 0 NA B A dr
A B A A A A K XXX F E 0 NA B A dr
A B A A A A Q XXX F E 0 NA B A dr
A B A A A A R M F E 0 NA B A dr
A B A A A A K XXX F E 0 NA B A dr
A B A A A A R R F E 0 NA B A dr
C C C C D C R G F E 0 NA B A dr
B B B B B B F J F E 0 NA B A dr
B B A A B B H XXX F E 0 NA B A dr
A B A A A A R L F E 0 NA B A dr
B B A B B B R E F E 0 NA B A dr
B B A B B B R L F E 0 NA B A dr
A B A A A A R XXX F E 0 NA B A dr
B C B B C B P K F E 0 NA B A dr
D C D C D C N XXX F E 0 NA B A dr
A B A A A A M XXX F E 0 NA B A dr
