D D D C D C Q P F XXX NA NA D D dr
B B B B B B K XXX F XXX NA NA C B dr
A B A A A A I XXX F XXX NA NA B A dr
A B A A A A R R F XXX NA NA B A dr
B C C B C B R G F XXX NA NA B A dr
C C C C C C R O F XXX NA NA B A dr
B B C A B B B B F XXX NA NA B A dr
B B A A B B L XXX F XXX NA NA B A dr
A B A A A A I XXX F XXX NA NA B A dr
B C B B B B R Q F XXX NA NA B A dr
B B B B B B R R F XXX NA NA B A dr
B C C C C B O O F XXX NA NA B A dr
E E C D E E R O F XXX NA NA B A dr
C D C D D C Q XXX F XXX NA NA B A dr
B C B B C B N XXX F XXX NA NA B A dr
B B A B B B R O F XXX NA NA B A dr
C C C C C B R K F XXX NA NA B A dr
B C B B B B N XXX F XXX NA NA B A dr
A B A A A A O XXX F XXX NA NA B A dr
B C B B B B R J F XXX NA NA B A dr
F D E C D C R K F XXX NA NA B A dr
C C B C C C Q XXX F XXX NA NA B A dr
B B B B B B L XXX F XXX NA NA B A dr
A B A A A A R XXX F XXX NA NA B A dr
B C B B B B R I F XXX NA NA B A dr
F F D E E F R R F XXX NA NA B A dr
B B A B B B M XXX F XXX NA NA B A dr
A B A A A A N XXX F XXX NA NA B A dr
B B A B B B R M F XXX NA NA B A dr
B C B B B B I O F XXX NA NA B A dr
B B B B B B R R F XXX NA NA B A dr
F D E C D C R J F XXX NA NA B A dr
