E C E A C C B O F B 0 NA D D dr
B C B B B B R R F B 0 NA C B dr
B C B C C B P P F B 0 NA C B dr
C C C C C C R M F B 0 NA C B dr
D D D B C E C M T B A 0 C B dr
B C B B B B R XXX F B A 0 C B dr
A B A A A A C XXX F B A 0 C A dr
B B A B B B R G F B A 0 C A dr
C C C B C C R J F B A 0 C A dr
E C E B B C D XXX F B B 0 C B dr
A B A A A A I XXX F B B 0 C B dr
B C B A B B R B F B B 0 C A dr
D D C C D C H M T B B 0 C B dr
B B B B B B J XXX F B B 0 C B dr
B B A B B B P XXX F B B 0 C A dr
A B A A A A O XXX F B B 0 C A dr
A B A A A A R P F B B 0 B A dr
A B A A A A R R F B B 0 B A dr
A B A A A A M XXX F B B 0 B A dr
A B A A A A R XXX F B B 0 B A dr
B B A B B B R M F B B 0 B A dr
B B B B B B M Q F B B 0 B A dr
B B A B B B R N F B B 0 B A dr
B C B B B B N F F B B 0 B A dr
C C C C C C G N F B B 0 B A dr
B C B B C B K N F B B 0 B A dr
A B A A A A R XXX F B B 0 B A dr
C C C B C D N B F B B 0 B A dr
D D C C D D J J T B A A B A dr
E D D B C E C N F A A B B A dr
B B B B B B G N F A A B B A dr
B C B B B B R R F A A B B A dr
E E D C D D J J F B A B B A dr
B B A A B B R F F B A B B A dr
A B A A A A C XXX F B A B B A dr
A B A A A A K XXX F B A B B A dr
A B A A A A N XXX F B A B B A dr
D D C C D C N K F B A B B A dr
B B B B B B J N F B A B B A dr
B B B B B B N J F B A B B A dr
C C C C C C R P F B A B B A dr
E E D D D D R N F B A B B A dr
