E E D D D E M J F XXX NA NA D C dr
C C E A B B B B T A A 0 C D dr
B C B C C B R XXX F A A 0 C C dr
C C C C C C L O F A A 0 C C dr
B B A B B B R R F A A 0 C B dr
C C C C C C Q J F A A 0 C B dr
B B B B B B K XXX F A A 0 C B dr
A B A A A A R XXX F A A 0 C B dr
C C C B C C C J F A A 0 C B dr
B B A A B B F XXX F A A 0 C A dr
A B A A A A R O F A A 0 C A dr
A B A A A A R R F A A 0 B A dr
C C C C C C J D F A A 0 B A dr
C C C C C B R E F A A 0 C A dr
D D C C C C I N F A A 0 C A dr
B B B B B B O XXX F A A 0 C A dr
C C C C C C P M F A A 0 C A dr
C C C B C C G P F A A 0 C A dr
B B A B B B R R F A A 0 C A dr
B B A B B B R P F A A 0 C A dr
D D D C C D I J T A A 0 C A dr
B C B B B B M XXX F A A 0 C A dr
A B A A A A R P F A A 0 C A dr
B B A B B B R P F A A 0 C A dr
C C C C C C O I F A A 0 C A dr
B C C B C B J P F A A 0 C A dr
B B A B B B R P F A A 0 C A dr
B B A B B B R O F A A 0 C A dr
B B A B B B R M F A A 0 C A dr
A B A A A A R P F A A 0 B A dr
B B A B B B R XXX F A A 0 B A dr
B B A B B B P XXX F A A 0 B A dr
B B B B B B P XXX F A A 0 B A dr
B B A B B B R R F A A 0 B A dr
A B A A A A R P F A A 0 B A dr
B C B B B B R P F A A 0 B A dr
C D C B C D G J F A A 0 B A dr
B B B B B B L O F A A 0 B A dr
B B B B B B M P F A A 0 B A dr
F D E C C D O D F D A 0 B A dr
C C C B C C J R F D A 0 B A dr
B B A B B B R K F D A 0 B A dr
D D C C C D C G F D A 0 B A dr
D D C C C D H J T A A 0 B A dr
B B B B B B P R F A A 0 B A dr
B C B B C B R M F A A 0 B A dr
C C C A B D C O F A A 0 C A dr
C C C C D C N O F A A 0 C A dr
C D C D D C R XXX F A A 0 C A dr
