D D C C D D H O T A A A C B dr
B C B B B B G XXX F A A A C A dr
B B A B B B O XXX F A A A C A dr
A B A A A A R N F A A A B A dr
A B A A A A R XXX F A A A B A dr
B B A B B B R O F A A A B A dr
C D C C D C N Q F A A A B A dr
B B B B B B M O F A A A B A dr
B C B B C B P P F A A A B A dr
E E D D E F R L F A A A B A dr
B B B A B B O G F A A A B A dr
B B A B B B R R F A A A B A dr
A B A A A A O XXX F A A A B A dr
B C B B B B F XXX F A A A B A dr
C C C C C C R H F A A A B A dr
B B B B B B J XXX F A A A B A dr
B B A A B B O XXX F A A A B A dr
B B A B B B N XXX F A A A B A dr
B B A B B B R N F A A A B A dr
A B A A A A O XXX F A A A B A dr
A B A A A A R R F A A A B A dr
A B A A A A R XXX F A A A B A dr
B B A A B B N XXX F A A A B A dr
B C B B B B R O F A A A B A dr
C C C C C B R M F A A A B A dr
B B B B B B P P F A A A B A dr
C C D B C C R J F A A A B A dr
B B B B B B P XXX F A A A B A dr
A B A A A A J XXX F A A A B A dr
B B A B B B R J F A A A B A dr
C C C C C C N G F A A A B A dr
B B A A B B M XXX F A A A B A dr
A B A A A A R P F A A A B A dr
C C D B C B R C F A A A B A dr
C C C B B B J XXX F A A A B A dr
