E D E C D D M XXX F C 0 NA D D dr
B B A B B B O XXX F C 0 NA C B dr
A B A A A A R N F C 0 NA B A dr
A B A A A A R M F C 0 NA B A dr
B B A B B B R P F C 0 NA B A dr
B C B C C B R P F C 0 NA B A dr
D D D C D C P O F C 0 NA B A dr
B B A A B B F XXX F C 0 NA B A dr
A B A A A A L XXX F C 0 NA B A dr
B C B B B B R E F C 0 NA B A dr
E C E C D C O XXX F C 0 NA B A dr
B B A B B B O XXX F C 0 NA B A dr
B B A A B B O XXX F C 0 NA B A dr
A B A A A A N XXX F C 0 NA B A dr
B B A A B B R P F C 0 NA B A dr
B B A B B B Q XXX F C 0 NA B A dr
B B A B B B R P F C 0 NA B A dr
B B A A B B P XXX F C 0 NA B A dr
A B A A A A R Q F C 0 NA B A dr
B B A A B B R N F C 0 NA B A dr
A B A A A A O XXX F C 0 NA B A dr
A B A A A A Q XXX F C 0 NA B A dr
A B A A A A R XXX F C 0 NA B A dr
B B A B B B P XXX F C 0 NA B A dr
B B A B B B R P F C 0 NA B A dr
B C B B B B R O F C 0 NA B A dr
B B B B B B P M F C 0 NA B A dr
B B A B B B R XXX F C 0 NA B A dr
B B B B B B P P F C 0 NA B A dr
B B B B B B O XXX F C 0 NA B A dr
B B A B B B R P F C 0 NA B A dr
A B A A A A P XXX F C 0 NA B A dr
A B A A A A P XXX F C 0 NA B A dr
B B A B B B R P F C 0 NA B A dr
C C C B C C R J F C 0 NA B A dr
