E D E B B D B J F C B A D D dr
B B E A A A R M T C B A C D dr
D B E A B B J B F C B A C D dr
A A C A A A J N F C B A C D dr
A A C A A A N J F C B A B D dr
B B E A A B N C F C B A B D dr
A A C A A A J N F C B A B D dr
A A C A A A N K F C B A B D dr
A A B A A A K M F C B A B D dr
A A B A A A J J F C B A A C dr
A A B A A A J J F C B A A C dr
A A B A A A N N F C B A A C dr
A A B A A A K K F C B A A C dr
C A E A A A O G T C B A A D dr
B B E A A A C I F C B A A D dr
C B E A A B M J T C B A A D dr
D C E B B C J J T C B A A D dr
