F C E C C C P R F E 0 NA E D dr
C C C A B C J G F E 0 NA C D dr
B B B A A B L P F E 0 NA C C dr
A B A A A A P P F E 0 NA B B dr
A A A A A A O R F E 0 NA B A dr
A A A A A A N Q F E 0 NA B A dr
A A A A A A Q R F E 0 NA A A dr
A B A A A A R N F E 0 NA A A dr
A B B A A A P Q F E 0 NA A A dr
A B A A A A R N F E 0 NA A A dr
B B B A A B R J F E 0 NA A A dr
B B B A B B F N F E 0 NA A A dr
A B A A A A K XXX F E 0 NA A A dr
A A A A A A R R F E 0 NA A A dr
A A A A A A R N F E 0 NA A A dr
A A A A A A R O F E 0 NA A A dr
A A A A A A R R F E 0 NA A A dr
A A A A A A O XXX F E 0 NA A A dr
A A A A A A R N F E 0 NA A A dr
A A A A A A R K F E 0 NA A A dr
A A A A A A R F F E 0 NA A A dr
A A A A A A R L F E 0 NA A A dr
A B A A A A M L F E 0 NA A A dr
A B A A A A Q R F E 0 NA A A dr
A A A A A A R M F E 0 NA A A dr
A A A A A A P XXX F E 0 NA A A dr
A A A A A A R H F E 0 NA A A dr
A A A A A A R XXX F E 0 NA A A dr
A A A A A A R XXX F E 0 NA A A dr
A B A A A A R K F E 0 NA A A dr
C C D B B C M J F E 0 NA A A dr
B B B A A A C M F E 0 NA A A dr
A B B A A A Q P F E 0 NA A A dr
A B A A A A G XXX F E 0 NA A A dr
A B A A A A R B F E 0 NA A A dr
A B B A A A P J F E 0 NA A A dr
A B B A A A J M F E 0 NA A A dr
B B B A A A Q L F E 0 NA A A dr
A B A A A A R M F E 0 NA A A dr
A B A A A A L XXX F E 0 NA A A dr
A B B A A A K N F E 0 NA A A dr
A B A A A A O XXX F E 0 NA A A dr
A B B A A A P M F E 0 NA A A dr
A B A A A A K M F E 0 NA A A dr
C C D A B B R G F E 0 NA A A dr
B B C A B B F J F E 0 NA A A dr
A B B A A A O K F E 0 NA A A dr
B B B B B B L E F E 0 NA A A dr
B B B A B B R F F E 0 NA A A dr
C C E A B B C O F E 0 NA A A dr
A A A A A A H XXX F E 0 NA A A dr
A A A A A A O XXX F E 0 NA A A dr
A A A A A A R N F E 0 NA A A dr
