C C D B B C H E T A A 0 C D dr
B B B A A A E XXX F A A 0 B B dr
A B A A A A R P F A A 0 B A dr
A B A A A A P XXX F A A 0 B A dr
A A A A A A R N F A A 0 A A dr
A A A A A A R K F A A 0 A A dr
A A A A A A Q XXX F A A 0 A A dr
A A A A A A R XXX F A A 0 A A dr
A B A A A A O G F A A 0 A A dr
E D E B B E N F F B A 0 A A dr
B B C A A B J XXX F B A 0 A A dr
A B A A A A J G F B A 0 A A dr
B B B A B B I K F B A 0 A A dr
B B C B B B P I F B A 0 A A dr
B B B A B B M J F B A 0 A A dr
E D E B C E E I F C B 0 B A dr
B B B A B B J R F C B 0 B A dr
B B C B B B K C F C B 0 B A dr
B B B A B B O XXX F C B 0 B A dr
B B B A B B R N F C B 0 B A dr
D D D C C C M G T C B 0 B A dr
