E D E A B E B J F B A 0 D D dr
B B B B B B R J F B A 0 C C dr
B C C B B B J J F B A 0 C C dr
C C C C C C K K F B A 0 C B dr
A B B A A A C O F B A 0 C B dr
A A A A A A G J F B A 0 B B dr
A B A A A A R G F B A 0 B A dr
B B C B B B J K F B A 0 B A dr
B C C C C B N N F B A 0 B A dr
D C D C C C F J T A A 0 B B dr
A B B A A A C J F A A 0 B B dr
A B A A A A C N F A A 0 B A dr
A B A A A A R J F A A 0 B A dr
A B A A A A R O F A A 0 B A dr
B B B A B B K J F A A 0 B A dr
B C C B B B R N F A A 0 B A dr
D B E A A B A A F B A 0 B B dr
B B B A A A O R F B A 0 B B dr
B B B A A A R N F B A 0 B B dr
B B B B B B R J F B A 0 B B dr
E C E C C B J N F C B 0 B B dr
B B C B B B N J F C B 0 B B dr
B B B A B B J O F C B 0 B B dr
B B B B B B R N F C B 0 B B dr
A B B A A A N N F C B 0 B B dr
A B B A A A O O F C B 0 B B dr
A B B A A A N N F C B 0 B B dr
A B A A A A R N F C B 0 B A dr
A B B A A A N N F C B 0 B A dr
A B A A A A N R F C B 0 B A dr
A B A A A A R R F C B 0 B A dr
A B A A A A N N F C B 0 B A dr
A B A A A A J XXX F C B 0 B A dr
A B A A A A R N F C B 0 B A dr
A B A A A A J XXX F C B 0 B A dr
A A A A A A N XXX F C B 0 B A dr
A A A A A A R O F C B 0 B A dr
A B A A A A R K F C B 0 B A dr
D C E B C D H B F C B 0 B A dr
A B B A A A I L F C B 0 B A dr
A B A A A A O R F C B 0 B A dr
A B A A A A Q N F C B 0 B A dr
B B B A A B R J F C B 0 B A dr
B C C B B B F I F C B 0 B A dr
A B B A A A K XXX F C B 0 B A dr
A A A A A A N R F C B 0 B A dr
A A A A A A R O F C B 0 B A dr
A A A A A A I XXX F C B 0 B A dr
A A A A A A Q XXX F C B 0 B A dr
A A A A A A R Q F C B 0 B A dr
A A A A A A R N F C B 0 B A dr
A A A A A A R N F C B 0 A A dr
A A A A A A M P F C B 0 A A dr
A A A A A A E L F C B 0 A A dr
A B A A A A O Q F C B 0 A A dr
A B A A A A L XXX F C B 0 A A dr
A A A A A A L L F C B 0 A A dr
A A A A A A K J F C B 0 A A dr
A B A A A A R P F C B 0 A A dr
A A A A A A Q H F C B 0 A A dr
A B A A A A R J F C B 0 A A dr
A B A A A A R Q F C B 0 A A dr
A A A A A A L XXX F C B 0 A A dr
A B A A A A O I F C B 0 A A dr
A B A A A A M XXX F C B 0 A A dr
A B A A A A R O F C B 0 A A dr
B B B A B B R C F C B 0 A A dr
B C C B B B H J F C B 0 A A dr
B B C B B B J M F C B 0 A A dr
B B C B B B Q K F C B 0 A A dr
E E D D D E N J F C B 0 A A dr
