C C C B B C D K F XXX NA NA C B dr
A B B A A A O XXX F XXX NA NA B A dr
A A A A A A R P F XXX NA NA B A dr
A B A A A A R J F XXX NA NA A A dr
C C C B B C L D F XXX NA NA B A dr
B B B A A A O R F XXX NA NA B A dr
B B B B B B M L F XXX NA NA B A dr
E C E C C C J J F C 0 NA B A dr
A B B A A B J XXX F C 0 NA B A dr
A B A A A A P P F C 0 NA B A dr
A B A A A A M M F C 0 NA B A dr
A B B A A A O P F C 0 NA B A dr
B B B A A A R P F C 0 NA B A dr
B B C B B B P J F C 0 NA B A dr
B B B B B B O P F C 0 NA B A dr
B B B A B B P XXX F C 0 NA B A dr
B B B B B B P P F C 0 NA B A dr
A B B A A A J O F C 0 NA B A dr
B B B B B B P P F C 0 NA B A dr
A B B A A B R L F C 0 NA B A dr
D C D B C D J J T B A 0 B A dr
C C C B B C G M T A A A B A dr
D C E B B D P G F A A B B A dr
B C C A B B B C F A A B B A dr
A B A A A A N R F A A B B A dr
A B A A A A R N F A A B B A dr
C C C B B B F H T A A B B A dr
B B B A A A N N F A A B B A dr
E C E B B E P F F A A B B A dr
C C C A B D F D T A A B B A dr
B B B A A A R J F A A B B A dr
E E D C D E N L F A A B B A dr
