C C C B B D F K T A A 0 C C dr
A B A A A A F XXX F A A 0 B A dr
A A A A A A N XXX F A A 0 B A dr
A A A A A A R N F A A 0 A A dr
A B A A A A R K F A A 0 A A dr
B B C B B B J C F A A 0 A A dr
D D D B B E G I T B A 0 B A dr
A B A A A A M XXX F B A 0 B A dr
A A A A A A P M F B A 0 A A dr
A B A A A A P XXX F B A 0 A A dr
A B A A A A R P F B A 0 A A dr
A B A A A A R P F B A 0 A A dr
B B B A B B P M F B A 0 A A dr
E C E B B C L G F B B 0 B A dr
B B B A A A O M F B B 0 B A dr
A B A A A A L XXX F B B 0 B A dr
A A A A A A P P F B B 0 A A dr
A A A A A A R O F B B 0 A A dr
A A A A A A P R F B B 0 A A dr
A A A A A A P XXX F B B 0 A A dr
A A A A A A R XXX F B B 0 A A dr
A B A A A A R XXX F B B 0 A A dr
A A A A A A R M F B B 0 A A dr
A A A A A A M XXX F B B 0 A A dr
A B A A A A R XXX F B B 0 A A dr
A B A A A A R M F B B 0 A A dr
B C C B B B J G F B B 0 A A dr
A B B A A A J R F B B 0 A A dr
B B C B B B O I F B B 0 A A dr
A B A A A A P XXX F B B 0 A A dr
B B B A B B R J F B B 0 A A dr
B C C B B B J F F B B 0 A A dr
F D E C C E J J F B B 0 A A dr
F F D D E F R J F B B 0 A A dr
