D D D A B E B B F B 0 NA D D dr
C C C C C C L F F B 0 NA C C dr
B B C B B B R J F B 0 NA C B dr
B B C A A B C R F B 0 NA C B dr
A A A A A A N XXX F B 0 NA B B dr
A A A A A A R N F B 0 NA B A dr
A B A A A A R N F B 0 NA B A dr
A B A A A A R R F B 0 NA B A dr
A B A A A A F XXX F B 0 NA B A dr
A B A A A A O K F B 0 NA B A dr
C C C A B C C B F B 0 NA B A dr
A B B A A A F O F B 0 NA B A dr
A B B A A A R O F B 0 NA B A dr
C C D C C C J E F B 0 NA B A dr
C C C B B B J N F B 0 NA B A dr
C C C C C C G L F B 0 NA B A dr
B B B B B B J M F B 0 NA B A dr
C C D B C C I J T A A 0 B A dr
B B B A A A J P F A A 0 B A dr
C C C B C C J G F A A 0 B A dr
B B C B B B J P F A A 0 B A dr
B B B B B B P O F A A 0 B A dr
B B B A B B J P F A A 0 B A dr
B B B B B B P P F A A 0 B A dr
B B B B B B O R F A A 0 B A dr
B B B A B B R M F A A 0 B A dr
C C C B B C G G F A A 0 B A dr
B B B B B B M O F A A 0 B A dr
F C E B C D J D F B B 0 B A dr
C C C B B B R G F B B 0 B A dr
C C C B B C C J T A A 0 B A dr
B C C B B B R I F A A 0 B A dr
C C C A B C C B F A A 0 B B dr
C D C D D C N XXX F A A 0 B B dr
