E D E C C D L Q F D 0 NA D D dr
C C C C C C O XXX F D 0 NA C C dr
B C B B B B R R F D 0 NA C B dr
C C C B C C N R F D 0 NA C B dr
B C B B C B N XXX F D 0 NA C B dr
C C C C C C O XXX F D 0 NA C B dr
C D C C D C R P F D 0 NA C B dr
C C D B C B P XXX F D 0 NA C B dr
B C B C C B R XXX F D 0 NA C B dr
B B A B B B P XXX F D 0 NA C B dr
D D D C D D Q P F C 0 NA C B dr
C C C B C C L XXX F C 0 NA C B dr
B C B B B B Q XXX F C 0 NA C B dr
B B A B B B O XXX F C 0 NA C B dr
B C B C C B Q XXX F C 0 NA C B dr
C C C B C B N XXX F C 0 NA C B dr
C D C C D D P XXX F C 0 NA C B dr
B C B C C B R Q F C 0 NA C B dr
