A B A A A A Q XXX F XXX NA NA A A dr
C D C C D C O P F XXX NA NA B A dr
D D C D D D R Q F XXX NA NA C A dr
E D E C D C R O F XXX 0 NA C B dr
B B A A B B O XXX F XXX 0 NA C A dr
B C B B C B R R F XXX 0 NA C A dr
B C B B C B O XXX F XXX 0 NA C A dr
B C B C C B R XXX F XXX 0 NA C A dr
C D C D D C R R F XXX 0 NA C A dr
B C B B B B R R F XXX 0 NA C A dr
B C B B C B P XXX F XXX 0 NA C A dr
C C B C C C R O F XXX 0 NA C A dr
B C B B B B R Q F XXX 0 NA C A dr
C C C C C B Q R F XXX 0 NA C A dr
D D D C D C Q N F XXX 0 NA C A dr
C C E A C C K XXX T D 0 NA C B dr
C D C C D C R Q F D 0 NA C B dr
B B A B B B R R F D 0 NA C A dr
B C B B C B N XXX F D 0 NA C A dr
C C B C C C R O F D 0 NA C A dr
