F F D E E F R R F XXX NA NA E C dr
B B B B B B J XXX F XXX NA NA C B dr
C C D C C C M H F XXX NA NA C B dr
B B C A A B J G F XXX NA NA C B dr
F C E B C C R E F XXX NA NA C C dr
A A B A A A B C F XXX NA NA C C dr
A A C A A A O F F XXX NA NA B B dr
E E D D E D R L F XXX NA NA C C dr
B B C B B B O N F XXX NA NA C B dr
F E D D E E R N F XXX NA NA C C dr
B B C B B B R N F XXX NA NA C B dr
D C E C C B R C F XXX NA NA C C dr
B C C B B B G XXX F XXX NA NA C C dr
A A C A A A J J F XXX NA NA C B dr
A B C A A A F I F XXX NA NA C B dr
E E D C D D R K F XXX NA NA C B dr
C C C B C C M G F XXX NA NA C B dr
B B C A A A G K F XXX NA NA C B dr
C B E B B B J B F XXX NA NA C C dr
B B C B B B C J F XXX NA NA C C dr
B B C A B B J J F XXX NA NA C C dr
A B C A A A G N F XXX NA NA C B dr
A A B A A A F F F XXX NA NA B B dr
A A B A A A N N F XXX NA NA B B dr
A A B A A A B N F XXX NA NA B B dr
A A C A A A C C F XXX NA NA B B dr
E C E B C C R D F XXX NA NA B B dr
A A B A A A I C F XXX NA NA B B dr
A A B A A A K K F XXX NA NA B B dr
B B C A A A O C F XXX NA NA B B dr
A A C A A A A F F XXX NA NA B B dr
A A B A A A K F F XXX NA NA B B dr
A A B A A A J J F XXX NA NA B B dr
A A B A A A F F F XXX NA NA B B dr
A A B A A A N K F XXX NA NA B B dr
A A B A A A B B F XXX NA NA B B dr
A A B A A A J J F XXX NA NA B B dr
A A B A A A J J F XXX NA NA B B dr
A A B A A A K P F XXX NA NA B B dr
A A B A A A B O F XXX NA NA A B dr
A A A A A A C F F XXX NA NA A B dr
A A A A A A M L F XXX NA NA A B dr
A A A A A A K M F XXX NA NA A B dr
A A A A A A J G F XXX NA NA A B dr
A A A A A A H G F XXX NA NA A B dr
A A A A A A K L F XXX NA NA A B dr
A A A A A A M M F XXX NA NA A B dr
A A A A A A M M F XXX NA NA A B dr
A A A A A A M O F XXX NA NA A B dr
A A A A A A K M F XXX NA NA A B dr
A A A A A A L M F XXX NA NA A B dr
A A A A A A M I F XXX NA NA A A dr
A A A A A A L I F XXX NA NA A A dr
A A A A A A O O F XXX NA NA A A dr
A A A A A A G J F XXX NA NA A A dr
A A A A A A M I F XXX NA NA A A dr
A A A A A A L K F XXX NA NA A A dr
A A A A A A Q Q F XXX NA NA A A dr
A A A A A A M O F XXX NA NA A A dr
A A A A A A O L F XXX NA NA A A dr
A A A A A A P Q F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A Q Q F XXX NA NA A A dr
A A A A A A R Q F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
