E E C E E E R Q F XXX NA NA D C dr
B B C A A B J R F XXX NA NA C B dr
A A C A A A K G F XXX NA NA B B dr
A A C A A A O K F XXX NA NA B B dr
B B C B B B D H F XXX NA NA B B dr
B B C B B B M P F XXX NA NA B B dr
B B C B B B G J F XXX NA NA B B dr
B B C A B B K O F XXX NA NA B B dr
A B C A A A M J F XXX NA NA B B dr
D D C C D C R K F XXX NA NA B B dr
B B C B B B J M F XXX NA NA B B dr
B B C A A B M M F XXX NA NA B B dr
A B C A A A G M F XXX NA NA B B dr
A B C A A A D I F XXX NA NA B B dr
B B C A A B I G F XXX NA NA B B dr
B C C C C B J N F XXX NA NA B B dr
