D E C D D D H O T XXX NA NA C B dr
B B C A A B G R F XXX NA NA C B dr
B B C A A B O F F XXX NA NA C B dr
B B C B B B L M F XXX NA NA C B dr
E C E C C C R L F XXX NA NA C C dr
B B C A A B K R F XXX NA NA C B dr
A A B A A A N N F XXX NA NA B B dr
A B C A A A F B F XXX NA NA B B dr
D D C C D C P Q F XXX NA NA B B dr
B B C A A B N F F XXX NA NA B B dr
A B C A A A O N F XXX NA NA B B dr
B B C A A B N J F XXX NA NA B B dr
B B C B B B M M F XXX NA NA B B dr
C C D B C C O J F XXX NA NA B B dr
A B C A A A J P F XXX NA NA B B dr
B B C A A B R G F XXX NA NA B B dr
B B C A A B M XXX F XXX NA NA B B dr
A A B A A A O O F XXX NA NA B B dr
A A B A A A O O F XXX NA NA B B dr
C B E A A B R C F XXX NA NA B B dr
B B B A B B J R F XXX NA NA B B dr
