D D C D D C Q Q F XXX NA NA C B dr
B C C B B B N XXX F XXX NA NA C B dr
B B C B B B P J F XXX NA NA C B dr
B B C A A B K B F XXX NA NA C B dr
B B C A A B K O F XXX NA NA B B dr
A B C A A A O J F XXX NA NA B B dr
C C E B B B R J F XXX NA NA B B dr
B B C A A B M M F XXX NA NA B B dr
A A B A A A I H F XXX NA NA B B dr
B B C A A A J B F XXX NA NA B B dr
C C C C C C R N F XXX NA NA B B dr
B B C B B B C L F XXX NA NA B B dr
A A C A A A M P F XXX NA NA B B dr
A A B A A A M M F XXX NA NA B B dr
A A B A A A M L F XXX NA NA B B dr
A A B A A A M G F XXX NA NA B B dr
A A B A A A M I F XXX NA NA B B dr
A A B A A A K J F XXX NA NA B B dr
C C E B B C E I F XXX NA NA B B dr
A A B A A A A B F XXX NA NA B B dr
A A B A A A L I F XXX NA NA B B dr
A A B A A A G K F XXX NA NA B B dr
A A B A A A N J F XXX NA NA A B dr
A B C A A A N F F XXX NA NA A B dr
B B C B B B J J F XXX NA NA A B dr
B B C B B B M M F XXX NA NA B B dr
B B C A A A M H F XXX NA NA B B dr
B B C B B B F N F XXX NA NA B B dr
