E D D C D D P XXX F XXX NA NA D D dr
C C C A B C J G F XXX NA NA C C dr
A A C A A A G L F XXX NA NA B C dr
A A C A A A P N F XXX NA NA B B dr
B B C A A B F J F XXX NA NA B B dr
A A C A A A G N F XXX NA NA B B dr
A A C A A A I F F XXX NA NA A B dr
A A C A A A D J F XXX NA NA A B dr
A A C A A A I H F XXX NA NA A B dr
C C D B B C M J F XXX NA NA A B dr
A A C A A A C N F XXX NA NA A B dr
A A C A A A I J F XXX NA NA A B dr
A A C A A A D J F XXX NA NA A B dr
A A C A A A K K F XXX NA NA A B dr
C B D B B B F G F XXX NA NA A B dr
B B C A A B F E F XXX NA NA A B dr
C C E B C C P F F XXX NA NA B B dr
A A C A A A C N F XXX NA NA A B dr
A A B A A A C C F XXX NA NA A B dr
A A B A A A L H F XXX NA NA A B dr
A A B A A A I E F XXX NA NA A B dr
A A B A A A J L F XXX NA NA A B dr
A A B A A A I I F XXX NA NA A B dr
A A B A A A L L F XXX NA NA A B dr
A A B A A A H C F XXX NA NA A B dr
A A B A A A L L F XXX NA NA A B dr
A A B A A A J G F XXX NA NA A B dr
A A B A A A M H F XXX NA NA A B dr
A A B A A A L K F XXX NA NA A B dr
A A B A A A H J F XXX NA NA A B dr
A A B A A A K E F XXX NA NA A B dr
A A B A A A M M F XXX NA NA A B dr
A A B A A A M I F XXX NA NA A B dr
A A B A A A G F F XXX NA NA A B dr
A A B A A A G G F XXX NA NA A A dr
A A A A A A I B F XXX NA NA A A dr
