F F C E E F R XXX F XXX NA NA E C dr
B B C A B B B C F XXX NA NA C B dr
D D D C C E H M T A A 0 C C dr
A A C A A A C F F A A 0 C B dr
C B E A A B L G T A A 0 C D dr
A A C A A A B G F A A 0 C D dr
A A C A A A D D F A A 0 B C dr
C C C B B C H M T A A 0 B C dr
A B C A A A M P F A A 0 B C dr
A A C A A A M C F A A 0 B C dr
B B C B B B I F F A A 0 B C dr
B B C A A B B B F A A 0 B C dr
C C C A B D J B T A A 0 B C dr
E D D C D D N J F A A 0 B C dr
C C E B B B C K T A A 0 C C dr
D D D B B E R J F A A 0 C C dr
B B C A A A A B T A A 0 C C dr
A A C A A A C F F A A 0 B C dr
B B C A A B N B F A A 0 B C dr
B B C B B B J J F A A 0 B C dr
D D D C D C M M F A A 0 C C dr
