F E D E E E R N F XXX NA NA E C dr
A A C A A A I G F XXX NA NA B B dr
A A C A A A M J F XXX NA NA A B dr
A A C A A A P K F XXX NA NA A B dr
A A C A A A J M F XXX NA NA A B dr
B B C A A B I G F XXX NA NA A B dr
A A C A A A C G F XXX NA NA A B dr
A A C A A A O M F XXX NA NA A B dr
B B C A A B P L F XXX NA NA A B dr
C C E C C C P L T XXX NA NA A B dr
B B C A A A L R F XXX NA NA A B dr
A A C A A A O O F XXX NA NA A B dr
A A C A A A O O F XXX NA NA A B dr
A A C A A A M P F XXX NA NA A B dr
A A C A A A J G F XXX NA NA A B dr
A A C A A A P F F XXX NA NA A B dr
B B C A B B N L F XXX NA NA A B dr
E E D D D D P K F A A 0 A B dr
A A C A A A J XXX F A A 0 A B dr
A A C A A A M O F A A 0 A B dr
A A C A A A L K F A A 0 A B dr
A A C A A A N J F A A 0 A B dr
A A C A A A M C F A A 0 A B dr
C C D B B C P G T A A 0 A B dr
B B C A A B I R F A A 0 A B dr
A A B A A A F J F A A 0 A B dr
A A C A A A M I F A A 0 A B dr
D C E B C C O E T A A 0 A B dr
B B C B B B E J F A A 0 A B dr
