E E D D D E M J F XXX NA NA D C dr
C C E A B C B B T A A 0 C D dr
B C C B B C C F F A A 0 C C dr
B B C A A A C N F A A 0 C C dr
A A C A A A F N F A A 0 C C dr
B B C A A B C B F A A 0 C C dr
B B C A A A J B F A A 0 B C dr
C C C B C C I E F A A 0 C C dr
C C C B C C G I F A A 0 C C dr
C C D B B B J J T A A 0 C C dr
B B C A A B J G F A A 0 C C dr
B B C B B B J N F A A 0 C C dr
B B C A B B J M F A A 0 C C dr
B B C A B B O G F A A 0 C C dr
B B C B B B G G F A A 0 C C dr
F F D D E F P I F A A 0 C C dr
B C C A B C C J F A A 0 C C dr
D D C C D D C J T A A 0 C C dr
B C C B B B N I F A A 0 C C dr
C C C A B C C B F A A 0 C C dr
