C B E A A B E F T XXX NA NA C D dr
B B B A B B P XXX F XXX NA NA B D dr
A A A A A A Q R F XXX NA NA B B dr
D C E A B B R N T XXX NA NA B C dr
A A A A A A N XXX F XXX NA NA B B dr
A A A A A A Q R F XXX NA NA B B dr
A A A A A A R Q F XXX NA NA A B dr
A A A A A A Q R F XXX NA NA A A dr
A A A A A A Q XXX F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R XXX F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A B B A A A R M F XXX NA NA A A dr
B B B A A B M XXX F XXX NA NA A A dr
A A A A A A Q R F XXX NA NA A A dr
A B B A A A R Q F XXX NA NA A A dr
A B B A A A P Q F XXX NA NA A A dr
A A A A A A M XXX F XXX NA NA A A dr
A A A A A A Q XXX F XXX NA NA A A dr
A A A A A A Q XXX F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R P F XXX NA NA A A dr
A A A A A A Q O F XXX NA NA A A dr
A A A A A A R Q F XXX NA NA A A dr
A A A A A A R O F XXX NA NA A A dr
A A A A A A R P F XXX NA NA A A dr
A A A A A A M R F XXX NA NA A A dr
A A A A A A P XXX F XXX NA NA A A dr
A A A A A A R Q F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A P R F XXX NA NA A A dr
A A A A A A R P F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A P XXX F XXX NA NA A A dr
A A A A A A P P F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R Q F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A Q Q F XXX NA NA A A dr
A A A A A A R Q F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A Q R F XXX NA NA A A dr
A A A A A A R Q F XXX NA NA A A dr
A A A A A A Q XXX F XXX NA NA A A dr
A A A A A A N O F XXX NA NA A A dr
A A A A A A Q P F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A Q R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R Q F XXX NA NA A A dr
A A A A A A R P F XXX NA NA A A dr
A A A A A A Q P F XXX NA NA A A dr
A A A A A A P R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R Q F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R Q F XXX NA NA A A dr
A A A A A A R Q F XXX NA NA A A dr
A A A A A A Q Q F XXX NA NA A A dr
A A A A A A Q Q F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R Q F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A Q R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
A A A A A A R P F XXX NA NA A A dr
A A A A A A R P F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
B B B A B B P XXX F XXX NA NA A A dr
A B B A A A R R F XXX NA NA A A dr
A A A A A A R R F XXX NA NA A A dr
B B B A B B O P F XXX NA NA A A dr
A A A A A A O XXX F XXX NA NA A A dr
A A A A A A R M F XXX NA NA A A dr
A B B A A A Q XXX F XXX NA NA A A dr
B B B B B B R P F XXX NA NA A A dr
D D D C D C R P T XXX NA NA A A dr
