C C D B C C N E F XXX NA NA C D dr
B B B B B B G P F XXX NA NA C B dr
D B E A B B R C T XXX NA NA C D dr
B B C A A B E C F XXX NA NA C D dr
A A C A A A K K F XXX NA NA B D dr
C B E A B B N J T XXX NA NA C D dr
A B C A A A A B F XXX NA NA B D dr
A A C A A A J C F XXX NA NA B D dr
B B E A A B J C F XXX NA NA B D dr
A A C A A A O M F XXX NA NA B D dr
B B C A A B L J F XXX NA NA B C dr
A A C A A A M M F XXX NA NA B C dr
A A C A A A O I F XXX NA NA B C dr
D B E A B B R E T XXX NA NA B D dr
A A C A A A L H F XXX NA NA B C dr
A A C A A A A B F XXX NA NA B C dr
A A C A A A J N F XXX NA NA B C dr
B B C A A B N C F XXX NA NA B C dr
B B C B B B O O F XXX NA NA B C dr
