C C E B B C J G T A A 0 C D dr
A A C A A A G L F A A 0 B C dr
A A C A A A F J F A A 0 B C dr
A A C A A A D F F A A 0 A C dr
B A E A A A I E F A A 0 A C dr
A A C A A A C B F A A 0 A C dr
A A C A A A D J F A A 0 A C dr
B B D A A B F E F A A 0 A C dr
A A E A A A C F F A A 0 A D dr
A A C A A A C C F A A 0 A C dr
A A C A A A I E F A A 0 A C dr
A A C A A A I I F A A 0 A C dr
A A C A A A H C F A A 0 A C dr
A A C A A A J G F A A 0 A C dr
A A C A A A H J F A A 0 A C dr
A A C A A A I E F A A 0 A B dr
A A C A A A G F F A A 0 A B dr
A A C A A A G B F A A 0 A B dr
