D D D C C E J F F A A 0 D D dr
C C E B B C I J T A A 0 C D dr
B B C A A B L L F A A 0 C D dr
A A C A A A B J F A A 0 B C dr
A A C A A A J B F A A 0 B C dr
F D E B D E Q J F B A 0 B D dr
A A C A A A J J F B A 0 B C dr
A A C A A A D G F B A 0 B C dr
A A C A A A J L F B A 0 A C dr
A A C A A A F I F B A 0 A C dr
A A C A A A O O F B A 0 A C dr
A A C A A A P O F B A 0 A B dr
A A C A A A O L F B A 0 A B dr
A A C A A A N L F B A 0 A B dr
A A C A A A J J F B A 0 A B dr
A A C A A A J K F B A 0 A B dr
A A C A A A J C F B A 0 A B dr
B B D A A B N I F B A 0 A B dr
C C D B B C I G T A A 0 A B dr
E E D D D E F G F A A B A B dr
A A C A A A C I F A A B A B dr
A A C A A A F H F A A B A B dr
F E D D D E Q N F A A B A B dr
A A C A A A I M F A A B A B dr
A A C A A A C G F A A B A B dr
A A C A A A K F F A A B A B dr
A A C A A A I I F A A B A B dr
A A C A A A C C F A A B A B dr
A A C A A A E J F A A B A B dr
C B E A A B N C T A A B A C dr
A A C A A A C L F A A B A C dr
A A C A A A I I F A A B A C dr
A A C A A A G B F A A B A C dr
A B C A A A F G F A A B A B dr
B B C A A A K J F A A B A B dr
C C D B B C F C T A A B A C dr
C C D B B C C C T A A B A C dr
B B C A A B H C F A A B A C dr
F F D E E F R P F A A B A C dr
A A C A A A J J F A A B A C dr
A A C A A A L M F A A B A C dr
B B C A A A H E F A A B A C dr
C C C B B C J F T A A B A C dr
