F E D D D E P N F B A 0 E D dr
B B D A A B C J T A A 0 C D dr
A A C A A A I L F A A 0 B C dr
A A C A A A L I F A A 0 B C dr
A A C A A A N L F A A 0 A C dr
C B E A A B N F T A A 0 B D dr
E C E C C D D I F A A 0 B D dr
A A C A A A F H F A A 0 B D dr
A A C A A A J J F A A 0 B D dr
A A C A A A J F F A A 0 A D dr
A A C A A A J J F A A 0 A C dr
A A C A A A G F F A A 0 A C dr
A A C A A A J J F A A 0 A C dr
A A C A A A G M F A A 0 A C dr
A A C A A A K H F A A 0 A C dr
A A C A A A M D F A A 0 A C dr
A A C A A A J L F A A 0 A C dr
A A C A A A I H F A A 0 A B dr
A A D A A A K C T A A 0 A C dr
B A E A A A C P T A A 0 A C dr
A A C A A A F G F A A 0 A C dr
A A C A A A G J F A A 0 A C dr
A A C A A A K K F A A 0 A C dr
A A C A A A K F F A A 0 A C dr
A A C A A A C C F A A 0 A C dr
A A C A A A J D F A A 0 A C dr
B B C A A A G G F A A 0 A C dr
A A C A A A I J F A A 0 A C dr
A A C A A A I J F A A 0 A C dr
A A C A A A D D F A A 0 A C dr
B B D A A B B F T A A 0 A C dr
A A C A A A G J F A A 0 A C dr
B B C A A B I D F A A 0 A C dr
C C D A A B B C T B A 0 A C dr
B B D A A A C F F B A 0 A C dr
A A D A A A F C T B A 0 A C dr
C C E B B C F G T B A 0 A C dr
