D D D C D E N R F XXX NA NA D C dr
B C C A B C M M T XXX NA NA C C dr
D C E B C C R K T XXX NA NA C D dr
A B C A A A K F F XXX NA NA C C dr
C B E A B B O XXX F XXX NA NA C C dr
B B E A A B R M T XXX NA NA C D dr
A A C A A A P R F XXX NA NA C C dr
A B C A A A P O F XXX NA NA B C dr
C C E A B C M P T B 0 NA C C dr
B B C A A A O N F B 0 NA B C dr
A A B A A A O P F B 0 NA B C dr
A A B A A A N Q F B 0 NA B C dr
C B E A A A R J T B 0 NA B C dr
B B C A B B O L F B 0 NA B C dr
B B C B B B L J F B 0 NA B C dr
F F C E E F R R F B 0 NA B C dr
