C C D A B D R M T XXX NA NA C D dr
B C C B B B P XXX F XXX NA NA C C dr
A B B A A A N Q F XXX NA NA B B dr
F F C E E F R XXX F XXX NA NA C B dr
B B C A B B O L F XXX NA NA C B dr
A B A A A A O XXX F XXX NA NA B B dr
A A A A A A R R F XXX NA NA B A dr
B B C A A B O O F XXX NA NA B B dr
A A A A A A R R F XXX NA NA B A dr
A A A A A A R R F XXX NA NA B A dr
A A A A A A O P F XXX NA NA B A dr
A B B A A A P O F XXX NA NA B A dr
B C C A B B Q N F XXX NA NA B A dr
C C B B C C P Q F XXX NA NA B A dr
E F C E E E R XXX F XXX NA NA B A dr
