E D D C D E O R F B 0 NA D D dr
C C E B B B M K F B 0 NA C D dr
C C E A A C F J F B 0 NA C D dr
B B E A A A F C F B 0 NA C D dr
C B E A A B C A T B A A C D dr
B B E A A B C G F B A A C D dr
E C E B C B M H F B A A C D dr
B B C A A B E F F B A A C D dr
B B D A A B J C F B A A C D dr
C C E A B B M F F B A A C D dr
A A C A A A C F F B A A C D dr
B A E A A A K C T B A A C D dr
D B E B B B K G T B A A C D dr
A A C A A A H I F B A A C D dr
A A C A A A F C F B A A B D dr
A A C A A A J K F B A A B D dr
A A C A A A D F F B A A B D dr
A A C A A A I D F B A A B D dr
C B E A A B J D T B A A B D dr
B B C B B B I J F B A A B D dr
C C C B C C R J F B A A B D dr
