C B E A A B D G T C 0 NA C D dr
E E D D D D R Q F B 0 NA C D dr
A A E A A A B M F B 0 NA C D dr
B A E A A A D C T B B 0 B D dr
A A C A A A I J F B B 0 B D dr
A A C A A A G G F B B 0 A D dr
A A C A A A E E F B B 0 A D dr
A A C A A A B C F B B 0 A D dr
A A C A A A G C F B B 0 A D dr
A A C A A A E E F B B 0 A D dr
A A C A A A E I F B B 0 A D dr
A A C A A A C F F B B 0 A D dr
A A C A A A J J F B B 0 A C dr
A A C A A A C C F B B 0 A C dr
A A C A A A C B F B B 0 A C dr
B A E A A A J B T B B 0 A D dr
A A C A A A B B F B B 0 A D dr
