B B E A A B E F T B 0 NA C D dr
A A C A A A N Q F B 0 NA A D dr
A A E A A A M M T B 0 NA A D dr
A A C A A A M Q F B 0 NA A D dr
A A C A A A M M F B 0 NA A D dr
A A C A A A P P F B 0 NA A C dr
A A C A A A P P F B 0 NA A C dr
A A C A A A O Q F B 0 NA A C dr
A A C A A A N O F B 0 NA A B dr
A A C A A A Q O F B 0 NA A B dr
A A C A A A P P F B 0 NA A B dr
A A C A A A R Q F B 0 NA A B dr
A A C A A A O P F B 0 NA A B dr
A A C A A A Q Q F B 0 NA A B dr
A A C A A A Q P F B 0 NA A B dr
A A C A A A O N F B 0 NA A B dr
B A D A A A O M T B 0 NA A B dr
