E D E C C C P P F C 0 NA D D dr
C B E A B B E F F C 0 NA C D dr
C C C B C C P C F C 0 NA C D dr
A B C A A B E N F C 0 NA C D dr
A A B A A A M O F C 0 NA B C dr
A A B A A A I O F C 0 NA B B dr
A A B A A A J M F C 0 NA B B dr
A A B A A A J M F C 0 NA A B dr
A A B A A A K G F C 0 NA A B dr
A A B A A A M G F C 0 NA A B dr
A A B A A A J J F C 0 NA A B dr
A A B A A A M G F C 0 NA A B dr
A A B A A A J L F C 0 NA A B dr
A B C A A A M P F C 0 NA A B dr
A A B A A A L M F C 0 NA A B dr
A A B A A A M M F C 0 NA A B dr
A A B A A A O F F C 0 NA A B dr
A B C A A A J M F C 0 NA A B dr
A A C A A A O J F C 0 NA A B dr
C C C A B E P N T B 0 NA A B dr
B B C A A B P Q F B 0 NA A B dr
D C E A A C O P T B 0 NA A B dr
F F C E E F R R F B 0 NA A B dr
