F C E C C C P L F E 0 NA E D dr
B B D A A B J N F E 0 NA C D dr
A A B A A A G L F E 0 NA B D dr
A A B A A A N N F E 0 NA B C dr
A A C A A A J N F E 0 NA B C dr
B B C A A B L J F E 0 NA B B dr
A A B A A A G N F E 0 NA B B dr
A A B A A A J N F E 0 NA A B dr
A A B A A A I F F E 0 NA A B dr
A A B A A A L J F E 0 NA A B dr
A A B A A A D M F E 0 NA A B dr
A A B A A A K J F E 0 NA A B dr
C C D A B B M E F E 0 NA A B dr
A B C A A A C M F E 0 NA A B dr
A A C A A A D B F E 0 NA A B dr
A B C A A A I M F E 0 NA A B dr
A B C A A A D L F E 0 NA A B dr
A A C A A A I J F E 0 NA A B dr
A A C A A A K L F E 0 NA A B dr
C B D A B B F G F E 0 NA A B dr
A B C A A A H K F E 0 NA A B dr
B B C A B B F F F E 0 NA A B dr
B B E A A B C O F E 0 NA A B dr
A A B A A A C N F E 0 NA A B dr
A A A A A A C C F E 0 NA A B dr
A A A A A A L H F E 0 NA A B dr
A A A A A A N J F E 0 NA A B dr
A A A A A A K E F E 0 NA A B dr
A A A A A A I K F E 0 NA A B dr
A A A A A A N L F E 0 NA A B dr
A A A A A A I I F E 0 NA A B dr
A A A A A A L O F E 0 NA A A dr
A A A A A A O L F E 0 NA A A dr
A A A A A A H C F E 0 NA A A dr
A A A A A A I K F E 0 NA A A dr
A A A A A A L L F E 0 NA A A dr
A A A A A A J G F E 0 NA A A dr
A A A A A A M H F E 0 NA A A dr
A A A A A A N N F E 0 NA A A dr
A A A A A A L K F E 0 NA A A dr
A A A A A A L P F E 0 NA A A dr
A A A A A A H J F E 0 NA A A dr
A A A A A A K E F E 0 NA A A dr
A A A A A A I J F E 0 NA A A dr
A A A A A A M M F E 0 NA A A dr
A A A A A A M I F E 0 NA A A dr
A A A A A A M P F E 0 NA A A dr
A A A A A A G J F E 0 NA A A dr
A A A A A A G G F E 0 NA A A dr
A A A A A A I B F E 0 NA A A dr
A A A A A A M P F E 0 NA A A dr
