E E C D D D F K F A A 0 D C dr
B B C A A B I M F A A 0 C B dr
A A B A A A N I F A A 0 B B dr
B B C A A B J C F A A 0 B B dr
E E D D D E J I F A A 0 B B dr
B B D A A B G P T A A 0 C B dr
A A B A A A P M F A A 0 B B dr
A A C A A A O O F A A 0 B B dr
E C E B B D Q G F A A 0 B B dr
B B C A B B G L F A A 0 B B dr
A A B A A A L P F A A 0 B B dr
A A B A A A M O F A A 0 B B dr
A A B A A A O M F A A 0 B B dr
A A B A A A M O F A A 0 B B dr
B B C A B B J G F A A 0 B B dr
B B C A A B J I F A A 0 B B dr
B B C A A A M M F A A 0 B B dr
B C C B B B J F F A A 0 B B dr
F D E C C C M M F A A 0 B B dr
E E D D D E J J F A A 0 B B dr
F E D D D F P J F A A 0 B B dr
