F F D D E F N M F XXX NA NA E C dr
D C E A A C A A T B 0 NA D D dr
B B C B B B N E F B 0 NA C D dr
C C C C C C N J F B 0 NA C D dr
B B C B B B M O F B 0 NA C C dr
C C C B B C P L F B 0 NA C C dr
E D E D D D M M F B 0 NA C C dr
E E C D D E M P F B B A C C dr
C B E A A B F N T B A A C C dr
A A B A A A J J F B A A C C dr
A A B A A A N J F B A A C C dr
A A B A A A J J F B A A B C dr
A A B A A A N K F B A A B B dr
A A B A A A C C F B A A B B dr
A A B A A A O G F B A A B B dr
A A B A A A O M F B A A B B dr
D C E A A D J A T B A A B B dr
B B C A A B G Q F B A A B B dr
B B C A A B N J F B A A B B dr
A A B A A A J O F B A A B B dr
A A B A A A J J F B A A B B dr
A A B A A A N J F B A A B B dr
A A B A A A J J F B A A B B dr
B B C A A B O J F B A A B B dr
F D E C D D O J F B B A B B dr
A B C A A A F N F B B A B B dr
B B C A A A J C F B B A B B dr
A B C A A A C N F B B A B B dr
A A C A A A N F F B B A B B dr
E D E C C E N F F B B A B B dr
A B C A A A G R F B B A B B dr
A A B A A A J G F B B A B B dr
A A B A A A I C F B B A B B dr
B B C A B B I I F B B A B B dr
B B C B B B P G F B B A B B dr
B C C B B B J J F B B A B B dr
F E D D E E R M F B B A B B dr
C B E A A B B A T B A B B B dr
C C C B B C B D F B A B B B dr
B B C B B B C I F B A B B B dr
A A C A A A F O F B A B B B dr
A A B A A A J N F B A B B B dr
B B C A A A R C T B A B B B dr
B B C A A B F R F B A B B B dr
B B C B B B N K F B A B B B dr
E D E C C E K O F B B B B B dr
B B C B B B M I F B B B B B dr
B B C B B B I O F B B B B B dr
D D D C C E J D F B B B B B dr
E D E B C C G R F B B B B B dr
B B C A B B G G F B B B B B dr
C C D B B C G K T B B B B B dr
B B C B B B Q H F B B B B B dr
B C C B B B J L F B B B B B dr
B B C B B B J L F B B B B B dr
B B C B B B M O F B B B B B dr
