D D C C C D J L F XXX NA NA C C dr
A B C A A A J K F XXX NA NA B B dr
A A B A A A G G F XXX NA NA B B dr
A A B A A A F K F XXX NA NA A B dr
A A B A A A J J F XXX NA NA A B dr
A A B A A A J J F XXX NA NA A B dr
A B C A A A K C F XXX NA NA A B dr
A A C A A A J O F XXX NA NA A B dr
A A B A A A K N F XXX NA NA A B dr
A A B A A A G G F XXX NA NA A A dr
A A B A A A J J F XXX NA NA A A dr
A A B A A A N J F XXX NA NA A A dr
A A B A A A K H F XXX NA NA A A dr
B B C A A B N C F XXX NA NA A A dr
F D E C C D J N F D 0 NA A B dr
B B C A A A J Q F D 0 NA A B dr
A A C A A A N O F D 0 NA A B dr
B B C A A B N G F D 0 NA A B dr
B B C B B B N N F D 0 NA A B dr
C C C C C B N N F D 0 NA A B dr
C C C B C C L E F D 0 NA A B dr
C C C C C C O J F D 0 NA A B dr
E E D D D D M M F C A 0 A B dr
E E C E E E P N F C A 0 B B dr
E E C E E E R P F C A 0 B B dr
