B B E A A B E F T B 0 NA C D dr
A A C A A A Q N F B 0 NA B C dr
A A C A A A M Q F B 0 NA B C dr
A A B A A A Q Q F B 0 NA A B dr
A A B A A A Q R F B 0 NA A B dr
A A B A A A R R F B 0 NA A B dr
B B E A A B O M T B 0 NA A B dr
A A B A A A P R F B 0 NA A B dr
A A C A A A P Q F B 0 NA A B dr
A A A A A A N XXX F B 0 NA A B dr
A A A A A A Q R F B 0 NA A B dr
A A A A A A P O F B 0 NA A A dr
A A A A A A O O F B 0 NA A A dr
A A A A A A M M F B 0 NA A A dr
A A A A A A Q Q F B 0 NA A A dr
A A A A A A P R F B 0 NA A A dr
A A A A A A R P F B 0 NA A A dr
A A A A A A P P F B 0 NA A A dr
A A A A A A Q Q F B 0 NA A A dr
A A A A A A Q Q F B 0 NA A A dr
A A A A A A O Q F B 0 NA A A dr
A A A A A A R R F B 0 NA A A dr
A A A A A A R R F B 0 NA A A dr
A A A A A A Q Q F B 0 NA A A dr
A A A A A A N O F B 0 NA A A dr
A A A A A A Q P F B 0 NA A A dr
A A A A A A R R F B 0 NA A A dr
A A A A A A Q O F B 0 NA A A dr
A A A A A A R R F B 0 NA A A dr
A A A A A A Q P F B 0 NA A A dr
A A A A A A P P F B 0 NA A A dr
A A A A A A R R F B 0 NA A A dr
A A A A A A R Q F B 0 NA A A dr
A A A A A A R R F B 0 NA A A dr
A A A A A A R R F B 0 NA A A dr
A A A A A A O Q F B 0 NA A A dr
A A A A A A Q P F B 0 NA A A dr
A A A A A A R R F B 0 NA A A dr
A A A A A A R R F B 0 NA A A dr
A A A A A A R R F B 0 NA A A dr
A A A A A A Q Q F B 0 NA A A dr
A A A A A A R P F B 0 NA A A dr
A A A A A A R R F B 0 NA A A dr
A A A A A A R P F B 0 NA A A dr
A A B A A A R N F B 0 NA A A dr
A A C A A A P R F B 0 NA A A dr
A A C A A A O O F B 0 NA A A dr
A A B A A A O M F B 0 NA A A dr
B B C A A B Q P F B 0 NA A A dr
E D D D D C R P F B 0 NA A A dr
