E C E A B C L L F C 0 NA D D dr
B B C A A B E C F C 0 NA C D dr
A A C A A A J M F C 0 NA B D dr
A A C A A A K L F C 0 NA A C dr
B B D A A B J C F C 0 NA B C dr
A B C A A A C H F C 0 NA A C dr
A A C A A A C F F C 0 NA A C dr
A A C A A A E F F C 0 NA A C dr
A A C A A A I I F C 0 NA A B dr
A A C A A A J I F C 0 NA A B dr
A A C A A A K G F C 0 NA A B dr
B A E A A A B C F C 0 NA A C dr
A A C A A A L L F C 0 NA A C dr
A A C A A A G G F C 0 NA A C dr
A A C A A A F G F C 0 NA A C dr
A A C A A A K I F C 0 NA A B dr
A A C A A A H L F C 0 NA A B dr
A A C A A A K G F C 0 NA A B dr
C B E A A B D G T B 0 NA A C dr
A A C A A A L J F B 0 NA A C dr
A A C A A A L N F B 0 NA A B dr
A A C A A A K M F B 0 NA A B dr
A A C A A A H M F B 0 NA A B dr
A A C A A A M H F B 0 NA A B dr
C B E A A B K P T C 0 NA A C dr
A A C A A A K M F C 0 NA A C dr
A A C A A A I F F C 0 NA A C dr
C B E A A B N F F C 0 NA A C dr
A A C A A A G C F C 0 NA A C dr
A A B A A A B B F C 0 NA A C dr
A A B A A A C C F C 0 NA A B dr
A A B A A A J F F C 0 NA A B dr
A A B A A A M L F C 0 NA A B dr
A A B A A A G K F C 0 NA A B dr
A A B A A A J J F C 0 NA A B dr
A A B A A A C B F C 0 NA A B dr
A A C A A A C C F C 0 NA A B dr
A A C A A A L L F C 0 NA A B dr
A A C A A A C I F C 0 NA A B dr
A A B A A A G L F C 0 NA A B dr
A A B A A A I M F C 0 NA A B dr
A A B A A A M M F C 0 NA A B dr
A A B A A A B B F C 0 NA A B dr
A A B A A A C G F C 0 NA A B dr
A A B A A A J F F C 0 NA A B dr
A A B A A A M J F C 0 NA A B dr
A A B A A A N M F C 0 NA A B dr
A A B A A A K M F C 0 NA A B dr
A A B A A A C I F C 0 NA A B dr
A A B A A A B B F C 0 NA A B dr
A A B A A A F G F C 0 NA A B dr
A A B A A A D I F C 0 NA A B dr
A A B A A A J M F C 0 NA A B dr
A A B A A A M M F C 0 NA A B dr
A A B A A A B B F C 0 NA A B dr
A A B A A A F F F C 0 NA A B dr
A A B A A A C C F C 0 NA A B dr
A A B A A A E I F C 0 NA A B dr
A A B A A A K K F C 0 NA A B dr
A A B A A A I J F C 0 NA A B dr
A A B A A A J G F C 0 NA A B dr
A A B A A A K M F C 0 NA A B dr
A A B A A A M M F C 0 NA A B dr
A A B A A A J J F C 0 NA A B dr
A A B A A A J M F C 0 NA A B dr
A A B A A A J M F C 0 NA A B dr
A A B A A A J J F C 0 NA A B dr
A A B A A A J L F C 0 NA A B dr
A A B A A A J G F C 0 NA A B dr
A A B A A A J J F C 0 NA A B dr
