F C E B B C J G F E 0 NA E D dr
A A C A A A G L F E 0 NA B D dr
A A C A A A N N F E 0 NA B D dr
B B C A A B J J F E 0 NA B C dr
A A C A A A G N F E 0 NA A C dr
A A C A A A I F F E 0 NA A B dr
A A C A A A D J F E 0 NA A B dr
A A C A A A I H F E 0 NA A B dr
B B D A A B C E F E 0 NA A B dr
A A C A A A D B F E 0 NA A B dr
A B C A A A D L F E 0 NA A B dr
A A C A A A I J F E 0 NA A B dr
B B C A A A K G F E 0 NA A B dr
B B C A A B F J F E 0 NA A B dr
C B E A B B F F F E 0 NA A B dr
A A B A A A C N F E 0 NA A B dr
A A B A A A C C F E 0 NA A B dr
A A B A A A L H F E 0 NA A B dr
A A B A A A I E F E 0 NA A B dr
A A B A A A J L F E 0 NA A B dr
A A B A A A I I F E 0 NA A B dr
A A B A A A L L F E 0 NA A B dr
A A B A A A H C F E 0 NA A B dr
A A B A A A L L F E 0 NA A B dr
A A B A A A J G F E 0 NA A B dr
A A B A A A M J F E 0 NA A B dr
A A B A A A L K F E 0 NA A B dr
A A B A A A H J F E 0 NA A B dr
A A B A A A I E F E 0 NA A B dr
A A B A A A M M F E 0 NA A B dr
A A B A A A M I F E 0 NA A B dr
A A B A A A G F F E 0 NA A B dr
A A B A A A G D F E 0 NA A B dr
A A A A A A I B F E 0 NA A A dr
