E C E A B D J B F C 0 NA D D dr
B A E A A A G P T B A 0 C D dr
A A C A A A N P F B A 0 B D dr
A A C A A A N I F B A 0 A C dr
A A C A A A K H F B A 0 A C dr
A A C A A A N N F B A 0 A C dr
A A C A A A K G F B A 0 A B dr
A A C A A A K I F B A 0 A B dr
A A C A A A K I F B A 0 A B dr
A A C A A A L K F B A 0 A B dr
A A C A A A G K F B A 0 A B dr
A A C A A A L L F B A 0 A B dr
A A C A A A O I F B A 0 A B dr
E C E A B C A A F C B 0 A B dr
A A C A A A I P F C B 0 A B dr
A A C A A A P J F C B 0 A B dr
C C C B B C L L F C B 0 A B dr
F E E C D E R F F C B 0 A B dr
