E D D C C D C F F XXX NA NA D D dr
B B C A B B K J F XXX NA NA C C dr
B B C A A B C F F XXX NA NA C C dr
B B C A A B C F F XXX NA NA C C dr
B B C B B B J F F XXX NA NA C C dr
E C E B B D O I F XXX NA NA C C dr
B B C A A A C E F XXX NA NA C C dr
C C C B B C L I T XXX NA NA C C dr
B B C A A A K I F XXX NA NA C C dr
C C C A A B N K T XXX NA NA C C dr
E B E A A B C K F E 0 NA C D dr
A A C A A A O H F E 0 NA C C dr
B B C A A B J J F E 0 NA B C dr
B B C A A B F G F E 0 NA B C dr
C C C B C C J G F E 0 NA C C dr
